Varname,Date,Index,N
BANGUNSABC,9/7/99,32.99,0
BANGUNSABC,5/7/00,39.18,1068
BANGUNSABC,4/22/07,38.54,788
BANGUNSCBS,4/15/81,45.74,0
BANGUNSCBS,10/15/88,44.68,0
BANGUNSCBS,3/15/89,42.71,0
BANGUNSCBS,1/20/92,42.27,0
BANGUNSCBS,3/15/93,42.71,0
BANGUNSCBS,12/5/93,50,1289
BANGUNSCBS,1/15/94,47.92,1146
BANGUNSCBS,4/25/95,49.47,596
BANGUNSCBS,2/22/96,48.45,1223
BANGUNSCBS,4/22/99,44.79,450
BANGUNSCBS,8/1/99,34.38,1165
BANGUNSCBS,8/15/99,36.46,736
BANGUNSCBS,3/19/00,35.05,1221
BANGUNSCBS,4/20/07,34.02,644
BANGUNSCBS,1/15/11,32.99,1036
BANGUNSGALLUP,6/15/81,43.16,0
BANGUNSGALLUP,10/15/87,45.65,0
BANGUNSGALLUP,7/1/88,38.54,0
BANGUNSGALLUP,9/15/90,42.71,0
BANGUNSGALLUP,3/15/91,44.79,0
BANGUNSGALLUP,3/15/93,43.75,0
BANGUNSGALLUP,12/15/93,39.39,0
BANGUNSGALLUP,2/15/99,34.69,0
BANGUNSGALLUP,4/15/99,39.18,0
BANGUNSGALLUP,6/15/00,36.73,0
BANGUNSGALLUP,8/29/00,36.73,0
BANGUNSGALLUP,10/14/02,32.99,0
BANGUNSGALLUP,10/6/03,32.32,0
BANGUNSGALLUP,10/11/04,36.36,0
BANGUNSGALLUP,10/13/05,35.35,0
BANGUNSGALLUP,10/9/06,32.65,0
BANGUNSGALLUP,10/4/07,30.61,0
BANGUNSGALLUP,10/3/08,29.59,1011
BANGUNSGALLUP,10/1/09,28.28,1013
BANGUNSPEW,12/15/93,46.88,0
BANGUNSPEW,5/15/99,46.81,0
BANGUNSPEW,9/15/99,47.92,0
BANGUNSPEW,3/15/00,50,0
BANGUNSPEW,11/10/03,83.61,1177
BANGUNSPEW,4/18/07,40.22,0
BANGUNSPEW,4/23/08,37.89,1502
FIREARMSGALLUP,2/28/89,92.11,1000
FIREARMSGALLUP,9/10/90,97.5,1031
FIREARMSGALLUP,3/21/91,93.15,1010
FIREARMSGALLUP,3/30/92,92.31,1222
FIREARMSGALLUP,3/12/93,94.59,1007
FIREARMSGALLUP,12/17/93,90.54,1014
FIREARMSGALLUP,4/21/95,82.89,1008
FIREARMSGALLUP,6/6/95,85.92,1005
FIREARMSGALLUP,9/20/96,87.14,1359
FIREARMSGALLUP,9/21/96,88.41,1325
FIREARMSGALLUP,9/22/96,87.5,1359
FIREARMSGALLUP,2/15/99,86.96,0
FIREARMSGALLUP,4/15/99,90.41,0
FIREARMSGALLUP,5/15/99,92.86,0
FIREARMSGALLUP,6/15/99,91.18,0
FIREARMSGALLUP,8/15/99,91.67,0
FIREARMSGALLUP,12/15/99,85.71,0
FIREARMSGALLUP,4/15/00,89.71,0
FIREARMSGALLUP,5/5/00,92.54,1031
FIREARMSGALLUP,10/17/02,82.26,1002
FIREARMSGALLUP,1/9/04,90.91,1003
FIREARMSGALLUP,10/11/04,83.08,1012
FIREARMSGALLUP,10/13/05,89.06,1012
FIREARMSGALLUP,10/9/06,86.15,1001
FIREARMSGALLUP,10/4/07,86.44,1010
FIREARMSGALLUP,10/3/08,85.96,0
FIREARMSGALLUP,10/1/09,78.57,0
FIREARMSGALLUP,10/7/10,78.57,1025
FIREARMSGALLUP,10/6/11,79.63,1005
FIREARMSGALLUP,9/17/13,79.03,1023
FIREARMSGALLUP,10/3/13,79.03,1028
FIREARMSGALLUP,10/12/14,77.05,1017
FIREARMSNBC,1/13/11,83.87,1000
FIREARMSNBC,1/12/13,88.89,1000
FIREARMSNBC,2/21/13,93.85,1000
FIREARMSNBC,4/5/13,85.94,1000
GUNABC,5/16/99,68.37,761
GUNABC,8/11/99,64.58,1023
GUNABC,8/30/99,59.09,1526
GUNABC,3/30/00,59.04,1083
GUNABC,5/7/00,68.37,1068
GUNABC,1/11/01,54.12,1513
GUNABC,5/8/02,61.05,1028
GUNABC,10/5/06,62.24,1204
GUNABC,4/22/07,63.54,788
GUNABC,4/21/09,51.52,1072
GUNABC,1/13/11,53.61,1053
GUNABC,3/7/13,53.61,1001
GUNABCAP,4/15/99,61.8,0
GUNABCAP,4/28/99,67.37,1006
GUNABCAP,5/15/99,67.02,0
GUNABCAP,8/15/99,58.95,0
GUNABCAP,8/27/99,58.95,1026
GUNABCAP,4/15/00,66.67,0
GUNABCHARRIS,4/15/98,75,0
GUNABCHARRIS,6/15/99,71.59,0
GUNABCHARRIS,5/15/00,69.23,0
GUNABCHARRIS,3/22/01,73.81,1011
GUNABCHARRIS,10/23/02,54.26,1007
GUNABCHARRIS,5/21/03,54.74,1012
GUNABCHARRIS,9/15/04,65.22,0
GUNABCYANK,5/26/99,64.58,1017
GUNABCYANK,7/15/99,62.89,0
GUNABCYANK,1/12/00,62.77,1564
GUNABCYANK,1/15/00,62.11,0
GUNDIF,10/15/08,93.08,2294
GUNDIF,10/15/12,90.74,2056
GUNLAWGALLUP,7/23/59,78.13,1538
GUNLAWGALLUP,12/5/63,82.29,1613
GUNLAWGALLUP,1/7/65,76.04,2435
GUNLAWGALLUP,9/16/65,73.68,1571
GUNLAWGALLUP,8/18/66,69.79,1509
GUNLAWGALLUP,8/3/67,75.26,1627
GUNLAWGALLUP,10/8/71,74.74,1526
GUNLAWGALLUP,5/26/72,73.96,1541
GUNLAWNORC,3/15/72,72.41,1562
GUNLAWNORC,3/15/73,74.76,1470
GUNLAWNORC,3/15/74,76.22,1459
GUNLAWNORC,4/15/75,75.59,1450
GUNLAWNORC,2/15/76,78.33,180
