,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,primary
gun_control1.0-8381,0,1,0,saint paul pioneer press,2002,2,16,20020216,6
gun_control1.0-8383,0,0,1,denver post,2002,2,15,20020215,12
gun_control1.0-4818,0,0,1,st. louis post-dispatch,1998,8,29,19980829,4
gun_control1.0-137,0,0,1,new york times,1987,12,4,19871204,4
gun_control1.0-4812,0,0,1,st. louis post-dispatch,1996,11,1,19961101,12
gun_control1.0-3858,0,0,1,new york times,1995,4,30,19950430,8
gun_control1.0-8632,0,0,1,denver post,2001,6,29,20010629,12
gun_control1.0-8635,0,0,1,philadelphia inquirer,2001,6,29,20010629,5
gun_control1.0-8140,0,0,1,washington post,2000,10,5,20001005,12
gun_control1.0-9314,0,1,0,palm beach post,2003,6,26,20030626,11
gun_control1.0-3853,0,0,1,atlanta journal and constitution,1995,5,1,19950501,4
gun_control1.0-3852,0,0,1,denver post,1995,5,2,19950502,12
gun_control1.0-3854,0,0,1,daily news,1995,5,1,19950501,12
gun_control1.0-3856,0,0,1,usa today,1995,5,1,19950501,12
gun_control1.0-92,0,0,1,new york times,1988,9,27,19880927,4
gun_control1.0-2994,0,1,0,atlanta journal and constitution,1994,3,1,19940301,12
gun_control1.0-97,0,0,1,new york times,1988,9,16,19880916,5
gun_control1.0-94,0,0,1,palm beach post,1988,9,21,19880921,4
gun_control1.0-11523,0,0,1,washington post,2012,7,26,20120726,9
gun_control1.0-10211,0,0,1,st. petersburg times,2005,4,3,20050403,5
gun_control1.0-2728,0,0,1,st. louis post-dispatch,1994,5,22,19940522,12
gun_control1.0-1116,0,0,1,usa today,1991,4,19,19910419,12
gun_control1.0-5077,0,0,1,atlanta journal and constitution,1998,4,18,19980418,8
gun_control1.0-4475,0,0,1,washington post,1997,7,9,19970709,12
gun_control1.0-700,0,0,1,st. petersburg times,1989,5,31,19890531,12
gun_control1.0-5072,0,0,1,st. petersburg times,1998,4,23,19980423,12
gun_control1.0-2720,0,0,1,philadelphia inquirer,1994,5,24,19940524,12
gun_control1.0-2723,0,0,1,atlanta journal and constitution,1994,5,23,19940523,5
gun_control1.0-709,0,0,1,palm beach post,1989,5,23,19890523,2
gun_control1.0-1369,0,0,1,usa today,1990,8,6,19900806,0
gun_control1.0-1368,0,0,1,new york times,1990,8,7,19900807,6
gun_control1.0-4254,0,0,1,st. petersburg times,1996,3,22,19960322,12
gun_control1.0-3928,0,0,1,new york times,1995,4,10,19950410,12
gun_control1.0-2895,0,0,1,san jose mercury news,1994,3,31,19940331,12
gun_control1.0-1362,0,0,1,st. petersburg times,1990,9,1,19900901,5
gun_control1.0-8036,0,0,1,denver post,2000,11,11,20001111,12
gun_control1.0-1515,0,0,1,washington post,1992,5,18,19920518,7
gun_control1.0-11853,0,0,1,washington post,2012,12,20,20121220,12
gun_control1.0-525,0,0,1,new york times,1990,4,3,19900403,12
gun_control1.0-526,0,0,1,palm beach post,1990,3,31,19900331,12
gun_control1.0-5399,0,0,1,st. petersburg times,1999,2,6,19990206,4
gun_control1.0-149,0,1,0,new york times,1987,9,27,19870927,5
gun_control1.0-8631,0,0,1,atlanta journal and constitution,2001,6,29,20010629,5
gun_control1.0-144,0,1,0,new york times,1987,10,12,19871012,10
gun_control1.0-635,0,0,1,palm beach post,1989,7,23,19890723,4
gun_control1.0-142,0,0,1,new york times,1987,10,20,19871020,6
gun_control1.0-140,0,0,1,new york times,1987,10,25,19871025,6
gun_control1.0-1169,0,0,1,palm beach post,1991,3,30,19910330,11
gun_control1.0-1168,0,0,1,new york times,1991,3,30,19910330,12
gun_control1.0-8093,0,0,1,washington post,2000,10,20,20001020,12
gun_control1.0-3631,0,0,1,usa today,1995,8,25,19950825,8
gun_control1.0-3632,0,0,1,san jose mercury news,1995,8,23,19950823,5
gun_control1.0-3635,0,1,0,st. louis post-dispatch,1995,8,16,19950816,11
gun_control1.0-5442,0,0,1,denver post,1999,1,15,19990115,7
gun_control1.0-10411,0,0,1,st. petersburg times,2010,7,2,20100702,12
gun_control1.0-10481,0,1,0,usa today,2010,5,3,20100503,5
gun_control1.0-10483,0,1,0,washington post,2010,4,28,20100428,5
gun_control1.0-10482,0,0,1,atlanta journal and constitution,2010,4,28,20100428,12
gun_control1.0-10484,0,0,1,new york times,2010,4,27,20100427,12
gun_control1.0-10487,0,1,0,denver post,2010,4,24,20100424,5
gun_control1.0-2940,0,0,1,st. louis post-dispatch,1994,3,19,19940319,10
gun_control1.0-2941,0,0,1,atlanta journal and constitution,1994,3,18,19940318,12
gun_control1.0-10646,0,0,1,palm beach post,2011,12,9,20111209,12
