,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,Pro,Neutral,Anti
gun_control1.0-10007,0,0,1,daily news,2005,12,21,20051221,0,0,1
gun_control1.0-10008,0,0,1,daily news,2005,12,18,20051218,0,0,1
gun_control1.0-10013,0,0,1,denver post,2005,12,16,20051216,0,1,0
gun_control1.0-10014,0,0,1,new york times,2005,12,15,20051215,0,1,0
gun_control1.0-10015,0,0,1,new york times,2005,12,14,20051214,0,0,1
gun_control1.0-10016,0,0,1,philadelphia inquirer,2005,12,14,20051214,0,0,1
gun_control1.0-10017,0,0,1,washington post,2005,12,13,20051213,0,0,1
gun_control1.0-10021,0,1,0,philadelphia inquirer,2005,12,9,20051209,0,0,1
gun_control1.0-10024,0,0,1,washington post,2005,12,7,20051207,0,0,1
gun_control1.0-10028,0,0,1,daily news,2005,12,1,20051201,0,0,1
gun_control1.0-10029,0,0,1,philadelphia inquirer,2005,12,1,20051201,0,0,1
gun_control1.0-1003,0,0,1,atlanta journal and constitution,1991,5,10,19910510,1,0,0
gun_control1.0-10031,0,0,1,new york times,2005,11,28,20051128,0,0,1
gun_control1.0-10032,0,0,1,washington post,2005,11,26,20051126,1,0,0
gun_control1.0-10034,0,0,1,philadelphia inquirer,2005,11,17,20051117,0,0,1
gun_control1.0-1004,0,0,1,atlanta journal and constitution,1991,5,10,19910510,0,0,1
gun_control1.0-10040,0,0,1,san jose mercury news,2005,11,9,20051109,1,0,0
gun_control1.0-10044,0,0,1,atlanta journal and constitution,2005,11,7,20051107,0,0,1
gun_control1.0-10045,0,1,0,new york times,2005,11,5,20051105,0,1,0
gun_control1.0-1005,0,0,1,new york times,1991,5,10,19910510,0,0,1
gun_control1.0-10052,0,0,1,st. petersburg times,2005,11,3,20051103,0,0,1
gun_control1.0-10054,0,0,1,st. louis post-dispatch,2005,11,2,20051102,0,0,1
gun_control1.0-10056,0,0,1,st. louis post-dispatch,2005,10,31,20051031,1,0,0
gun_control1.0-10064,0,0,1,new york times,2005,10,23,20051023,0,0,1
gun_control1.0-10066,0,0,1,st. petersburg times,2005,10,23,20051023,0,0,1
gun_control1.0-10069,0,0,1,philadelphia inquirer,2005,10,22,20051022,0,1,0
gun_control1.0-10073,0,0,1,washington post,2005,10,21,20051021,1,0,0
gun_control1.0-10079,0,0,1,st. petersburg times,2005,10,7,20051007,0,0,1
gun_control1.0-1008,0,0,1,new york times,1991,5,10,19910510,0,0,1
gun_control1.0-10081,0,1,0,st. petersburg times,2005,10,5,20051005,0,0,1
gun_control1.0-10083,0,0,1,st. petersburg times,2005,10,4,20051004,1,0,0
gun_control1.0-10087,0,0,1,saint paul pioneer press,2005,9,30,20050930,1,0,0
gun_control1.0-1009,0,0,1,palm beach post,1991,5,10,19910510,0,0,1
gun_control1.0-10090,0,0,1,st. petersburg times,2005,9,29,20050929,0,0,1
gun_control1.0-10095,0,0,1,st. louis post-dispatch,2005,9,17,20050917,1,0,0
gun_control1.0-10101,0,0,1,saint paul pioneer press,2005,8,31,20050831,0,1,0
gun_control1.0-10102,0,0,1,st. louis post-dispatch,2005,8,28,20050828,0,0,1
gun_control1.0-10109,0,0,1,denver post,2005,7,31,20050731,0,1,0
gun_control1.0-10115,0,0,1,saint paul pioneer press,2005,7,30,20050730,1,0,0
gun_control1.0-10118,0,0,1,washington post,2005,7,29,20050729,1,0,0
gun_control1.0-10119,0,0,1,new york times,2005,7,28,20050728,0,0,1
gun_control1.0-1012,0,0,1,usa today,1991,5,10,19910510,0,1,0
gun_control1.0-10120,0,1,0,philadelphia inquirer,2005,7,27,20050727,0,0,1
gun_control1.0-10121,0,0,1,washington post,2005,7,27,20050727,0,0,1
gun_control1.0-10124,0,0,1,saint paul pioneer press,2005,7,24,20050724,1,0,0
gun_control1.0-10126,0,0,1,atlanta journal and constitution,2005,7,20,20050720,0,0,1
gun_control1.0-10128,0,0,1,philadelphia inquirer,2005,7,19,20050719,0,1,0
gun_control1.0-1013,0,0,1,usa today,1991,5,10,19910510,0,0,1
gun_control1.0-10131,0,0,1,st. petersburg times,2005,7,19,20050719,0,1,0
gun_control1.0-10132,0,0,1,st. louis post-dispatch,2005,7,13,20050713,1,0,0
gun_control1.0-10135,0,0,1,atlanta journal and constitution,2005,7,1,20050701,0,1,0
gun_control1.0-10137,0,1,0,washington post,2005,7,1,20050701,1,0,0
gun_control1.0-10138,0,0,1,washington post,2005,6,29,20050629,0,0,1
gun_control1.0-1014,0,0,1,usa today,1991,5,10,19910510,0,1,0
gun_control1.0-10141,0,1,0,washington post,2005,6,17,20050617,0,1,0
gun_control1.0-10145,0,0,1,palm beach post,2005,6,4,20050604,1,0,0
gun_control1.0-1015,0,0,1,usa today,1991,5,10,19910510,0,0,1
gun_control1.0-10156,0,1,0,washington post,2005,5,22,20050522,0,0,1
gun_control1.0-10159,0,0,1,washington post,2005,5,20,20050520,0,1,0
gun_control1.0-10162,0,0,1,philadelphia inquirer,2005,5,18,20050518,1,0,0
gun_control1.0-10165,0,0,1,saint paul pioneer press,2005,5,17,20050517,1,0,0
gun_control1.0-10167,0,0,1,palm beach post,2005,5,15,20050515,0,0,1
gun_control1.0-10168,0,0,1,saint paul pioneer press,2005,5,14,20050514,1,0,0
gun_control1.0-1017,0,0,1,washington post,1991,5,10,19910510,0,0,1
gun_control1.0-10171,0,0,1,philadelphia inquirer,2005,5,13,20050513,0,0,1
gun_control1.0-10176,0,0,1,palm beach post,2005,5,7,20050507,1,0,0
gun_control1.0-10178,0,0,1,saint paul pioneer press,2005,5,6,20050506,0,0,1
gun_control1.0-10179,0,0,1,palm beach post,2005,5,4,20050504,0,0,1
gun_control1.0-10181,0,1,0,st. louis post-dispatch,2005,5,4,20050504,1,0,0
gun_control1.0-10182,0,1,0,saint paul pioneer press,2005,5,3,20050503,0,1,0
gun_control1.0-10189,0,0,1,new york times,2005,4,27,20050427,1,0,0
gun_control1.0-1019,0,0,1,atlanta journal and constitution,1991,5,9,19910509,0,0,1
gun_control1.0-10193,0,0,1,st. petersburg times,2005,4,27,20050427,1,0,0
gun_control1.0-10195,0,0,1,washington post,2005,4,26,20050426,1,0,0
gun_control1.0-102,0,0,1,palm beach post,1988,9,9,19880909,0,0,1
gun_control1.0-10200,0,0,1,philadelphia inquirer,2005,4,13,20050413,0,0,1
gun_control1.0-10203,0,0,1,new york times,2005,4,9,20050409,0,0,1
gun_control1.0-10204,0,0,1,atlanta journal and constitution,2005,4,8,20050408,0,1,0
gun_control1.0-10206,0,0,1,st. louis post-dispatch,2005,4,7,20050407,1,0,0
gun_control1.0-10207,0,0,1,palm beach post,2005,4,6,20050406,0,1,0
gun_control1.0-1021,0,0,1,atlanta journal and constitution,1991,5,9,19910509,0,0,1
gun_control1.0-10211,0,0,1,st. petersburg times,2005,4,3,20050403,1,0,0
gun_control1.0-10212,0,0,1,herald-sun,2005,4,2,20050402,0,0,1
gun_control1.0-10213,0,0,1,st. louis post-dispatch,2005,4,1,20050401,0,0,1
gun_control1.0-10214,0,0,1,palm beach post,2005,3,27,20050327,0,0,1
gun_control1.0-10217,0,0,1,philadelphia inquirer,2005,3,25,20050325,0,0,1
gun_control1.0-1022,0,1,0,new york times,1991,5,9,19910509,1,0,0
gun_control1.0-10220,0,0,1,saint paul pioneer press,2005,3,24,20050324,0,0,1
gun_control1.0-1023,0,0,1,new york times,1991,5,9,19910509,0,0,1
gun_control1.0-10230,0,0,1,st. louis post-dispatch,2005,3,19,20050319,0,1,0
gun_control1.0-10231,0,0,1,philadelphia inquirer,2005,3,17,20050317,1,0,0
gun_control1.0-10235,0,0,1,st. petersburg times,2005,3,16,20050316,1,0,0
gun_control1.0-10245,0,0,1,new york times,2005,3,9,20050309,0,0,1
gun_control1.0-10246,0,0,1,san jose mercury news,2005,3,9,20050309,0,0,1
gun_control1.0-1025,0,0,1,palm beach post,1991,5,9,19910509,1,0,0
gun_control1.0-10250,0,0,1,daily news,2005,2,26,20050226,0,0,1
gun_control1.0-10251,0,0,1,washington post,2005,2,24,20050224,1,0,0
gun_control1.0-10252,0,0,1,saint paul pioneer press,2005,2,22,20050222,1,0,0
gun_control1.0-10253,0,1,0,atlanta journal and constitution,2005,2,21,20050221,0,1,0
gun_control1.0-10255,0,0,1,washington post,2005,2,13,20050213,1,0,0
gun_control1.0-10256,0,0,1,atlanta journal and constitution,2005,2,11,20050211,0,0,1
