,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,Pro,Neutral,Anti,Explicit,Implicit
gun_control1.0-1,0,0,0,new york times,1976,11,3,19761103,0.420984276,0.223714633,0.355301091,0.386565691,0.613434309
gun_control1.0-10,1,0,0,new york times,1975,5,13,19750513,0.340516523,0.377912164,0.281571313,0.487128059,0.512871941
gun_control1.0-100,0,0,0,palm beach post,1988,9,13,19880913,0.220077215,0.229488208,0.550434577,0.117174913,0.882825087
gun_control1.0-10000,0,0,0,washington post,2005,12,27,20051227,0.34383853,0.289750777,0.366410693,0.000708353,0.999291647
gun_control1.0-10001,0,0,0,saint paul pioneer press,2005,12,25,20051225,0.117057356,0.131777234,0.75116541,0.001147425,0.998852575
gun_control1.0-10002,0,0,0,washington post,2005,12,25,20051225,0.245641008,0.025266959,0.729092032,0.632060164,0.367939836
gun_control1.0-10003,0,0,0,new york times,2005,12,23,20051223,0.084477711,0.082429775,0.833092513,0.001242484,0.998757516
gun_control1.0-10004,0,0,0,daily news,2005,12,22,20051222,0.122263833,0.1469743,0.730761868,0.074979242,0.925020758
gun_control1.0-10005,0,0,0,new york times,2005,12,22,20051222,0.075386272,0.116786689,0.807827038,0.004336385,0.995663615
gun_control1.0-10006,0,0,0,daily news,2005,12,21,20051221,0.060215334,0.015904339,0.923880327,0.016855214,0.983144786
gun_control1.0-10007,0,0,1,daily news,2005,12,21,20051221,0.152034765,0.036630856,0.811334379,0.976190761,0.023809239
gun_control1.0-10008,0,0,1,daily news,2005,12,18,20051218,0.048500786,0.041722917,0.909776297,0.794116767,0.205883233
gun_control1.0-10009,0,0,0,st. petersburg times,2005,12,18,20051218,0.274034252,0.217222328,0.50874342,0.002905548,0.997094452
gun_control1.0-1001,0,0,0,palm beach post,1991,5,11,19910511,0.241845778,0.298921765,0.459232457,0.006363961,0.993636039
gun_control1.0-10010,0,0,0,daily news,2005,12,17,20051217,0.156030916,0.020651836,0.823317248,0.444231544,0.555768456
gun_control1.0-10011,0,0,0,new york times,2005,12,17,20051217,0.072610982,0.077633364,0.849755654,0.006365258,0.993634742
gun_control1.0-10012,0,0,0,daily news,2005,12,16,20051216,0.113488506,0.070867601,0.815643893,0.006757412,0.993242588
gun_control1.0-10013,0,0,1,denver post,2005,12,16,20051216,0.435324394,0.283784072,0.280891534,0.000469973,0.999530027
gun_control1.0-10014,0,0,1,new york times,2005,12,15,20051215,0.095521303,0.052414402,0.852064295,0.92467375,0.07532625
gun_control1.0-10015,0,0,1,new york times,2005,12,14,20051214,0.111361996,0.147707501,0.740930503,0.014770547,0.985229453
gun_control1.0-10016,0,0,1,philadelphia inquirer,2005,12,14,20051214,0.343321384,0.095688044,0.560990572,0.989443036,0.010556964
gun_control1.0-10017,0,0,1,washington post,2005,12,13,20051213,0.3855831,0.071714846,0.542702054,0.665308922,0.334691078
gun_control1.0-10018,0,0,0,saint paul pioneer press,2005,12,12,20051212,0.365678635,0.180506666,0.453814699,0.726763179,0.273236821
gun_control1.0-10019,0,0,0,washington post,2005,12,11,20051211,0.261564202,0.239422564,0.499013233,0.004938947,0.995061053
gun_control1.0-10020,0,0,0,new york times,2005,12,9,20051209,0.179944285,0.05463582,0.765419896,0.416625108,0.583374892
gun_control1.0-10021,0,1,0,philadelphia inquirer,2005,12,9,20051209,0.250881651,0.030834714,0.718283635,0.91348167,0.08651833
gun_control1.0-10022,0,0,0,daily news,2005,12,8,20051208,0.16447757,0.154225325,0.681297105,0.003763983,0.996236017
gun_control1.0-10023,0,0,0,denver post,2005,12,8,20051208,0.163918572,0.091309413,0.744772014,0.197785147,0.802214853
gun_control1.0-10024,0,0,1,washington post,2005,12,7,20051207,0.174482639,0.15797287,0.667544492,0.021509727,0.978490273
gun_control1.0-10025,0,0,0,daily news,2005,12,5,20051205,0.06748838,0.040536138,0.891975481,0.179718072,0.820281928
gun_control1.0-10026,0,0,0,daily news,2005,12,3,20051203,0.115980402,0.295955058,0.588064539,0.001797576,0.998202424
gun_control1.0-10027,0,0,0,new york times,2005,12,3,20051203,0.223563464,0.04995071,0.726485826,0.034808945,0.965191055
gun_control1.0-10028,0,0,1,daily news,2005,12,1,20051201,0.060746918,0.020656564,0.918596519,0.24543682,0.75456318
gun_control1.0-10029,0,0,1,philadelphia inquirer,2005,12,1,20051201,0.064844789,0.020892947,0.914262265,0.996079872,0.003920128
gun_control1.0-1003,0,0,1,atlanta journal and constitution,1991,5,10,19910510,0.286052028,0.116109413,0.597838559,0.006752393,0.993247607
gun_control1.0-10030,0,0,0,philadelphia inquirer,2005,11,30,20051130,0.256054226,0.253693707,0.490252067,0.004421052,0.995578948
gun_control1.0-10031,0,0,1,new york times,2005,11,28,20051128,0.148324973,0.068446898,0.783228129,0.001356918,0.998643082
gun_control1.0-10032,0,0,1,washington post,2005,11,26,20051126,0.450664743,0.125683725,0.423651532,0.931804676,0.068195324
gun_control1.0-10033,0,0,0,washington post,2005,11,19,20051119,0.245466735,0.078775425,0.67575784,0.001017259,0.998982741
gun_control1.0-10034,0,0,1,philadelphia inquirer,2005,11,17,20051117,0.054589263,0.102110015,0.843300722,0.001297498,0.998702502
gun_control1.0-10035,0,0,0,atlanta journal and constitution,2005,11,16,20051116,0.459092636,0.061534768,0.479372596,0.809564707,0.190435293
gun_control1.0-10036,0,0,0,philadelphia inquirer,2005,11,16,20051116,0.093473384,0.050460878,0.856065739,0.00865081,0.99134919
gun_control1.0-10037,0,0,0,new york times,2005,11,11,20051111,0.170403256,0.076168754,0.75342799,0.022465077,0.977534923
gun_control1.0-10038,0,0,0,san jose mercury news,2005,11,10,20051110,0.252964201,0.062608924,0.684426875,0.105056328,0.894943672
gun_control1.0-10039,0,0,0,saint paul pioneer press,2005,11,10,20051110,0.251874176,0.120114097,0.628011727,0.000225497,0.999774503
gun_control1.0-1004,0,0,1,atlanta journal and constitution,1991,5,10,19910510,0.078388892,0.096336933,0.825274175,0.03525268,0.96474732
gun_control1.0-10040,0,0,1,san jose mercury news,2005,11,9,20051109,0.590298142,0.055643143,0.354058715,0.219201757,0.780798243
gun_control1.0-10041,0,0,0,saint paul pioneer press,2005,11,9,20051109,0.712388374,0.185478194,0.102133432,0.002719759,0.997280241
gun_control1.0-10042,0,0,0,denver post,2005,11,8,20051108,0.728062957,0.051607095,0.220329947,0.993998252,0.006001748
gun_control1.0-10043,0,0,0,washington post,2005,11,8,20051108,0.118555392,0.048367343,0.833077265,0.991797509,0.008202491
gun_control1.0-10044,0,0,1,atlanta journal and constitution,2005,11,7,20051107,0.11206141,0.036369122,0.851569468,0.982337035,0.017662965
gun_control1.0-10045,0,1,0,new york times,2005,11,5,20051105,0.093939812,0.222424364,0.683635824,0.012799861,0.987200139
gun_control1.0-10046,1,0,0,san jose mercury news,2005,11,4,20051104,0.299007201,0.082943263,0.618049535,0.631221146,0.368778854
gun_control1.0-10047,0,0,0,san jose mercury news,2005,11,4,20051104,0.188774132,0.069048682,0.742177186,0.034907108,0.965092892
gun_control1.0-10049,0,0,0,st. louis post-dispatch,2005,11,4,20051104,0.178780958,0.261156499,0.560062543,0.019250807,0.980749193
gun_control1.0-1005,0,0,1,new york times,1991,5,10,19910510,0.391561797,0.219105674,0.389332529,0.090386308,0.909613692
gun_control1.0-10050,0,0,0,philadelphia inquirer,2005,11,3,20051103,0.28933005,0.032367191,0.678302759,0.575664876,0.424335124
gun_control1.0-10051,0,0,0,philadelphia inquirer,2005,11,3,20051103,0.073741613,0.056702532,0.869555856,0.999285258,0.000714742
gun_control1.0-10052,0,0,1,st. petersburg times,2005,11,3,20051103,0.314689211,0.106153208,0.579157581,0.072597741,0.927402259
gun_control1.0-10053,0,0,0,st. louis post-dispatch,2005,11,2,20051102,0.215870911,0.206106862,0.578022227,0.029542516,0.970457484
gun_control1.0-10054,0,0,1,st. louis post-dispatch,2005,11,2,20051102,0.290120133,0.043092786,0.66678708,0.99570109,0.00429891
gun_control1.0-10055,0,0,0,philadelphia inquirer,2005,10,31,20051031,0.098589434,0.037997065,0.863413501,0.995365667,0.004634333
gun_control1.0-10056,0,0,1,st. louis post-dispatch,2005,10,31,20051031,0.199830049,0.222802473,0.577367478,0.051199826,0.948800174
gun_control1.0-10057,0,0,0,st. louis post-dispatch,2005,10,28,20051028,0.277241173,0.116729957,0.60602887,0.014751039,0.985248961
gun_control1.0-10058,0,0,0,washington post,2005,10,26,20051026,0.161284226,0.108209814,0.73050596,0.031080071,0.968919929
gun_control1.0-10059,0,0,0,atlanta journal and constitution,2005,10,25,20051025,0.569240182,0.118663595,0.312096222,0.985941487,0.014058513
gun_control1.0-1006,0,0,0,new york times,1991,5,10,19910510,0.103596292,0.151190672,0.745213036,0.00296899,0.99703101
gun_control1.0-10060,0,0,0,philadelphia inquirer,2005,10,24,20051024,0.373900176,0.261154253,0.364945572,0.064920286,0.935079714
gun_control1.0-10061,0,0,0,st. louis post-dispatch,2005,10,24,20051024,0.23774834,0.165276825,0.596974835,0.012278486,0.987721514
gun_control1.0-10063,0,0,0,daily news,2005,10,23,20051023,0.13167205,0.239545773,0.628782177,0.00435601,0.99564399
gun_control1.0-10064,0,0,1,new york times,2005,10,23,20051023,0.08018772,0.182451393,0.737360887,0.00053999,0.99946001
gun_control1.0-10066,0,0,1,st. petersburg times,2005,10,23,20051023,0.152597981,0.074603296,0.772798722,0.985248704,0.014751296
gun_control1.0-10068,0,0,0,washington post,2005,10,23,20051023,0.117679041,0.102308103,0.780012856,0.006123544,0.993876456
gun_control1.0-10069,0,0,1,philadelphia inquirer,2005,10,22,20051022,0.245603985,0.228127343,0.526268672,0.002083881,0.997916119
gun_control1.0-1007,0,0,0,new york times,1991,5,10,19910510,0.221670807,0.128657658,0.649671535,0.003860174,0.996139826
gun_control1.0-10071,0,0,0,denver post,2005,10,21,20051021,0.562976423,0.234733312,0.202290265,0.000544885,0.999455115
gun_control1.0-10072,0,0,0,new york times,2005,10,21,20051021,0.530062025,0.085027413,0.384910563,0.001193194,0.998806806
gun_control1.0-10073,0,0,1,washington post,2005,10,21,20051021,0.486255835,0.143606528,0.370137638,0.000163196,0.999836804
gun_control1.0-10074,0,0,0,new york times,2005,10,20,20051020,0.320501226,0.224659318,0.454839455,0.36362041,0.63637959
gun_control1.0-10075,0,0,0,new york times,2005,10,18,20051018,0.168600457,0.053355535,0.778044007,0.692268155,0.307731845
gun_control1.0-10076,0,0,0,st. petersburg times,2005,10,11,20051011,0.81754991,0.094733013,0.087717077,0.005848738,0.994151262
gun_control1.0-10077,0,0,0,palm beach post,2005,10,9,20051009,0.309433138,0.064641002,0.62592586,0.483502287,0.516497713
gun_control1.0-10078,0,0,0,washington post,2005,10,9,20051009,0.228840458,0.22955172,0.541607823,0.004354139,0.995645861
gun_control1.0-10079,0,0,1,st. petersburg times,2005,10,7,20051007,0.110648448,0.17055214,0.718799411,0.777017759,0.222982241
gun_control1.0-1008,0,0,1,new york times,1991,5,10,19910510,0.037745579,0.06829814,0.893956282,0.744953919,0.255046081
gun_control1.0-10080,0,0,0,philadelphia inquirer,2005,10,5,20051005,0.339518525,0.122092005,0.53838947,0.041367779,0.958632221
gun_control1.0-10081,0,1,0,st. petersburg times,2005,10,5,20051005,0.134683327,0.043722677,0.821593996,0.982672052,0.017327948
gun_control1.0-10082,0,0,0,new york times,2005,10,4,20051004,0.170378983,0.083727684,0.745893333,0.069444787,0.930555213
gun_control1.0-10083,0,0,1,st. petersburg times,2005,10,4,20051004,0.588839538,0.023549842,0.38761062,0.993459874,0.006540126
gun_control1.0-10084,0,0,0,st. petersburg times,2005,10,4,20051004,0.672274016,0.102729633,0.224996352,0.420914945,0.579085055
gun_control1.0-10085,0,0,0,st. petersburg times,2005,10,3,20051003,0.636433767,0.134367429,0.229198804,0.844764044,0.155235956
gun_control1.0-10086,0,0,0,washington post,2005,10,3,20051003,0.230400073,0.077235467,0.69236446,0.08049326,0.91950674
gun_control1.0-10087,0,0,1,saint paul pioneer press,2005,9,30,20050930,0.433219481,0.394583223,0.172197296,0.001201878,0.998798122
gun_control1.0-10088,0,0,0,washington post,2005,9,30,20050930,0.68548185,0.088598823,0.225919327,0.014583064,0.985416936
gun_control1.0-1009,0,0,1,palm beach post,1991,5,10,19910510,0.160133864,0.081009502,0.758856633,0.001425229,0.998574771
gun_control1.0-10090,0,0,1,st. petersburg times,2005,9,29,20050929,0.310121078,0.193689652,0.49618927,0.151872794,0.848127206
gun_control1.0-10091,0,0,0,atlanta journal and constitution,2005,9,28,20050928,0.563875084,0.040666956,0.395457961,0.996905239,0.003094761
gun_control1.0-10092,0,0,0,palm beach post,2005,9,27,20050927,0.102594585,0.132182406,0.76522301,0.585779505,0.414220495
gun_control1.0-10093,0,0,0,st. louis post-dispatch,2005,9,21,20050921,0.344775666,0.184694469,0.470529865,0.004395389,0.995604611
gun_control1.0-10094,0,0,0,denver post,2005,9,19,20050919,0.111089766,0.054732543,0.834177691,0.003187924,0.996812076
gun_control1.0-10095,0,0,1,st. louis post-dispatch,2005,9,17,20050917,0.495718738,0.094438008,0.409843253,0.014514673,0.985485327
gun_control1.0-10096,0,0,0,saint paul pioneer press,2005,9,13,20050913,0.279334968,0.073641133,0.647023899,0.401997041,0.598002959
gun_control1.0-10097,0,0,0,saint paul pioneer press,2005,9,13,20050913,0.258841254,0.096513052,0.644645695,0.000276499,0.999723501
gun_control1.0-10098,0,0,0,saint paul pioneer press,2005,9,12,20050912,0.264369963,0.104562281,0.631067755,0.002239147,0.997760853
gun_control1.0-10099,0,0,0,daily news,2005,9,11,20050911,0.13419629,0.092900246,0.772903464,0.815660826,0.184339174
gun_control1.0-101,0,0,0,palm beach post,1988,9,13,19880913,0.572705197,0.044485176,0.382809627,0.996855445,0.003144555
gun_control1.0-1010,0,0,0,palm beach post,1991,5,10,19910510,0.384959219,0.089180532,0.525860249,0.589535062,0.410464938
gun_control1.0-10100,0,0,0,palm beach post,2005,9,4,20050904,0.274303167,0.023066614,0.702630218,0.90908612,0.09091388
