,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,assignment,weight,directness,Explicit,Implicit
Immigration1.0-22482,0,0,1,washington post,2006,10,23,20061023,corey_54.0_r,0.5,1,0,1
Immigration1.0-22482,0,0,1,washington post,2006,10,23,20061023,laurie_54.0_r,0.5,1,0,1
Immigration1.0-22338,0,0,1,palm beach post,2006,11,12,20061112,corey_56.0_rt,0.5,1,0,1
Immigration1.0-22338,0,0,1,palm beach post,2006,11,12,20061112,emily_56.0_rt,0.5,1,0,1
Immigration1.0-22484,0,0,1,atlanta journal and constitution,2006,10,22,20061022,spencer_62.0_rt,0.5,1,0,1
Immigration1.0-22484,0,0,1,atlanta journal and constitution,2006,10,22,20061022,corey_62.0_rt,0.5,1,0,1
Immigration1.0-25457,0,0,1,new york times,2007,11,26,20071126,emily_61.0_rt,0.5,0,1,0
Immigration1.0-25457,0,0,1,new york times,2007,11,26,20071126,gareth_61.2_rt,0.5,1,0,1
Immigration1.0-25450,0,0,1,new york times,2007,11,27,20071127,nick_62.0_rt,0.5,1,0,1
Immigration1.0-25450,0,0,1,new york times,2007,11,27,20071127,kristine_62.0_rt,0.5,1,0,1
Immigration1.0-948,0,0,1,daily news,1995,11,29,19951129,corey_64.0_rt,0.5,1,0,1
Immigration1.0-948,0,0,1,daily news,1995,11,29,19951129,spencer_64.0_rt,0.5,1,0,1
Immigration1.0-34932,0,0,1,new york times,1981,5,2,19810502,kristine_61.0_rt,1,1,0,1
Immigration1.0-940,0,0,1,new york times,1995,12,1,19951201,gareth_60.0_rt,0.5,1,0,1
Immigration1.0-940,0,0,1,new york times,1995,12,1,19951201,allie_60.0_rt,0.5,1,0,1
Immigration1.0-34939,0,0,1,new york times,1981,4,18,19810418,allie_58.0_rt,0.5,1,0,1
Immigration1.0-34939,0,0,1,new york times,1981,4,18,19810418,spencer_58.0_rt,0.5,1,0,1
Immigration1.0-21824,0,0,1,atlanta journal and constitution,2006,9,29,20060929,corey_65.0_rt,0.5,1,0,1
Immigration1.0-21824,0,0,1,atlanta journal and constitution,2006,9,29,20060929,hannah_65.2_rt,0.5,1,0,1
Immigration1.0-19624,0,1,0,usa today,2006,4,12,20060412,gareth_58.0_rt,0.5,1,0,1
Immigration1.0-19624,0,1,0,usa today,2006,4,12,20060412,allie_58.2_rt,0.5,1,0,1
Immigration1.0-37157,0,0,1,palm beach post,1989,2,18,19890218,alex_56.0_rt,1,1,0,1
Immigration1.0-37154,0,0,1,usa today,1989,2,21,19890221,allie_54.0_r,0.5,1,0,1
Immigration1.0-37154,0,0,1,usa today,1989,2,21,19890221,hannah_54.0_r,0.5,1,0,1
Immigration1.0-37152,0,0,1,palm beach post,1989,2,21,19890221,emily_56.2_rt,0.5,1,0,1
Immigration1.0-37152,0,0,1,palm beach post,1989,2,21,19890221,spencer_56.0_rt,0.5,1,0,1
Immigration1.0-37150,0,0,1,usa today,1989,2,22,19890222,sam_59.0_rt,0.5,1,0,1
Immigration1.0-37150,0,0,1,usa today,1989,2,22,19890222,emily_59.0_rt,0.5,1,0,1
Immigration1.0-243,0,0,1,palm beach post,1995,2,7,19950207,sam_59.0_rt,0.5,0,1,0
Immigration1.0-243,0,0,1,palm beach post,1995,2,7,19950207,emily_59.0_rt,0.5,0,1,0
Immigration1.0-11819,0,0,1,washington post,2002,4,3,20020403,allie_58.0_rt,0.5,0,1,0
Immigration1.0-11819,0,0,1,washington post,2002,4,3,20020403,spencer_58.0_rt,0.5,0,1,0
Immigration1.0-12132,0,1,0,washington post,2002,7,4,20020704,dana_62.0_rt,0.25,1,0,1
Immigration1.0-12132,0,1,0,washington post,2002,7,4,20020704,kristine_65.0_rt,0.25,1,0,1
Immigration1.0-12132,0,1,0,washington post,2002,7,4,20020704,gareth_62.0_rt,0.25,1,0,1
Immigration1.0-12132,0,1,0,washington post,2002,7,4,20020704,allie_65.0_rt,0.25,1,0,1
Immigration1.0-3433,0,0,1,washington post,1997,6,16,19970616,corey_56.0_rt,0.5,1,0,1
Immigration1.0-3433,0,0,1,washington post,1997,6,16,19970616,emily_56.0_rt,0.5,1,0,1
Immigration1.0-30226,0,0,1,washington post,2010,10,1,20101001,nick_58.2_rt,0.5,1,0,1
Immigration1.0-30226,0,0,1,washington post,2010,10,1,20101001,emily_58.0_rt,0.5,1,0,1
Immigration1.0-36397,0,0,1,new york times,1988,7,17,19880717,corey_54.0_r,0.5,1,0,1
