,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,Economic,Capacity_and_resources,Morality,Fairness_and_equality,Legality_jurisdiction,Policy_prescription,Crime_and_punishment,Security_and_defense,Health_and_safety,Quality_of_life,Cultural_identity,Public_sentiment,Political,External_regulation,Other
Immigration1.0-22482,0,0,1,washington post,2006,10,23,20061023,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration1.0-22338,0,0,1,palm beach post,2006,11,12,20061112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-22484,0,0,0,atlanta journal and constitution,2006,10,22,20061022,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-25457,0,0,1,new york times,2007,11,26,20071126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-25450,0,0,1,new york times,2007,11,27,20071127,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-948,0,0,1,daily news,1995,11,29,19951129,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Immigration1.0-34932,0,0,1,new york times,1981,5,2,19810502,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-940,0,0,1,new york times,1995,12,1,19951201,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-34939,0,0,1,new york times,1981,4,18,19810418,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-20427,0,0,1,san jose mercury news,2006,4,17,20060417,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-21824,0,0,1,atlanta journal and constitution,2006,9,29,20060929,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Immigration1.0-19624,0,0,1,usa today,2006,4,12,20060412,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-37157,0,0,1,palm beach post,1989,2,18,19890218,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-37154,0,0,1,usa today,1989,2,21,19890221,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-37152,0,0,1,palm beach post,1989,2,21,19890221,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration1.0-32473,0,0,1,new york times,2012,1,1,20120101,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-37150,0,0,1,usa today,1989,2,22,19890222,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-243,0,0,1,palm beach post,1995,2,7,19950207,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Immigration1.0-2305,0,0,1,new york times,1996,9,13,19960913,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immigration1.0-12136,0,0,0,san jose mercury news,2002,7,3,20020703,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-3437,0,0,1,washington post,1997,6,15,19970615,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immigration1.0-3431,0,0,1,st. louis post-dispatch,1997,6,16,19970616,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Immigration1.0-3433,0,0,1,washington post,1997,6,16,19970616,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration1.0-30226,0,0,1,washington post,2010,10,1,20101001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
