Varname,House,Date,Topic,Subcode,L1,L2,L3,L4,C2,C3,C4,C5,Other,Index,Source,N,Totcheck,Agenda1,Agenda2,Scope,raceoutcome,racespenddo,raceaa,aidtoblacks,EqualOpp,Added
CNNIMM,GALLUP,12/9/05,120,124,41,0,0,0,0,0,0,56,3,42.27,USGALLUP.05DC009.R10,1003,100,530,0,0,0,0,0,0,0,7/28/15
CNNIMM,ORC,5/21/10,120,124,38,0,0,0,0,0,0,60,2,38.78,USORC.052610.R35,1023,100,530,0,0,0,0,0,0,0,7/28/15
CNNIMM,ORC,7/16/10,120,124,42,0,0,0,0,0,0,57,1,42.42,USORC.072610A.R23,1018,100,530,0,0,0,0,0,0,0,7/28/15
CNNIMM,ORC,11/18/11,120,124,42,0,0,0,0,0,0,55,3,43.3,USORC.112111B.R10,1019,100,530,0,0,0,0,0,0,0,7/28/15
CNNIMM,ORC,9/25/12,120,124,77,0,0,0,0,0,0,21,2,78.57,USORC.100412.R14,601,100,530,0,0,0,0,0,0,0,7/28/15
CNNIMM,ORC,9/28/12,120,124,56,0,0,0,0,0,0,39,5,58.95,USORC.100212.R12,1013,100,530,0,0,0,0,0,0,0,7/28/15
CNNIMM,ORC,1/14/13,120,124,53,0,0,0,0,0,0,43,5,55.21,USORC.2013001.Q34,814,101,530,0,0,0,0,0,0,0,7/28/15
CNNIMM,ORC,1/31/14,120,124,54,0,0,0,0,0,0,41,5,56.84,USORC.020614A.R19,1010,100,530,0,0,0,0,0,0,0,7/28/15
CNNIMM,ORC,7/18/14,120,124,45,0,0,0,0,0,0,51,4,46.88,USORC.072414.R11,1012,100,530,0,0,0,0,0,0,0,7/28/15
CNNIMM,ORC,12/18/14,120,124,50,0,0,0,0,0,0,46,4,52.08,USORC.011515G.R18,1011,100,530,0,0,0,0,0,0,0,7/28/15
CNNIMM,ORC,2/12/15,120,124,49,0,0,0,0,0,0,49,1,50,USORC.021715A.R39,1027,99,530,0,0,0,0,0,0,0,7/28/15
IMMKEPT,GALLUP,9/1/64,120,124,6,0,0,0,0,0,0,38,56,13.64,USGALLUP.633POS.Q16,1611,100,530,0,0,0,0,0,0,0,0
IMMKEPT,GALLUP,6/15/65,120,124,7,39,0,0,0,0,0,33,20,58.23,NYT Release 9/18-22/95,0,99,530,0,0,0,0,0,0,0,0
IMMKEPT,GALLUP,6/24/65,120,124,7,39,0,0,0,0,0,33,20,58.23,USGALLUP.713.Q013,2534,99,530,0,0,0,0,0,0,0,0
IMMKEPT,GALLUP,3/15/77,120,124,7,37,0,0,0,0,0,42,14,51.16,NYT Release 9/18-22/95,0,100,530,0,0,0,0,0,0,0,0
IMMKEPT,GALLUP,3/25/77,120,124,7,37,0,0,0,0,0,42,14,51.2,USGALLUP.971.Q010,1550,100,530,0,0,0,0,0,0,0,10/15/12
