,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,primary
same-sex_marriage1.0-881,0,1,0,new york times,2004,2,23,20040223,9
same-sex_marriage1.0-884,0,1,0,st. petersburg times,2004,2,23,20040223,10
same-sex_marriage1.0-885,0,0,1,st. louis post-dispatch,2004,2,23,20040223,12
same-sex_marriage1.0-887,0,0,1,washington post,2004,2,23,20040223,12
same-sex_marriage1.0-2950,0,1,0,daily news,2005,3,4,20050304,11
same-sex_marriage1.0-2953,0,0,1,new york times,2005,3,2,20050302,3
same-sex_marriage1.0-5155,0,0,1,new york times,2008,5,31,20080531,4
same-sex_marriage1.0-5157,0,0,1,san jose mercury news,2008,5,31,20080531,4
same-sex_marriage1.0-5151,0,0,1,palm beach post,2008,6,1,20080601,3
same-sex_marriage1.0-1509,0,0,1,st. petersburg times,2004,3,5,20040305,12
same-sex_marriage1.0-7804,0,0,1,new york times,2012,3,16,20120316,12
same-sex_marriage1.0-7806,0,1,0,tampa bay times,2012,3,16,20120316,4
same-sex_marriage1.0-7801,0,0,1,new york times,2012,3,22,20120322,11
same-sex_marriage1.0-7802,0,0,1,new york times,2012,3,21,20120321,0
same-sex_marriage1.0-1503,0,0,1,new york times,2004,3,5,20040305,4
same-sex_marriage1.0-9224,0,0,1,washington post,2012,11,7,20121107,12
same-sex_marriage1.0-9229,0,0,1,washington post,2012,11,7,20121107,11
same-sex_marriage1.0-5216,0,0,1,new york times,2008,5,16,20080516,4
same-sex_marriage1.0-4207,0,0,1,st. louis post-dispatch,2006,9,15,20060915,4
same-sex_marriage1.0-10548,0,0,1,atlanta journal and constitution,1997,7,12,19970712,2
same-sex_marriage1.0-4203,0,1,0,daily news,2006,9,20,20060920,12
same-sex_marriage1.0-10543,0,0,1,philadelphia inquirer,1997,7,20,19970720,2
same-sex_marriage1.0-10540,0,0,1,denver post,1997,8,3,19970803,0
same-sex_marriage1.0-7865,0,0,1,new york times,2012,2,19,20120219,4
same-sex_marriage1.0-3745,0,0,1,usa today,2008,11,11,20081111,11
same-sex_marriage1.0-3749,0,0,1,new york times,2008,11,9,20081109,11
same-sex_marriage1.0-10138,0,0,1,herald-sun,1996,6,11,19960611,12
same-sex_marriage1.0-10132,0,1,0,new york times,1996,6,13,19960613,4
same-sex_marriage1.0-10130,0,0,1,herald-sun,1996,6,14,19960614,5
same-sex_marriage1.0-10136,0,0,1,saint paul pioneer press,1996,6,12,19960612,10
same-sex_marriage1.0-3008,0,0,1,st. louis post-dispatch,2005,2,6,20050206,4
same-sex_marriage1.0-3000,0,0,1,new york times,2005,2,7,20050207,12
same-sex_marriage1.0-3003,0,0,1,daily news,2005,2,6,20050206,4
same-sex_marriage1.0-3268,0,0,1,washington post,2006,3,31,20060331,4
same-sex_marriage1.0-3269,0,0,1,palm beach post,2006,3,30,20060330,12
same-sex_marriage1.0-3266,0,1,0,saint paul pioneer press,2006,3,31,20060331,13
same-sex_marriage1.0-3267,0,0,1,usa today,2006,3,31,20060331,4
same-sex_marriage1.0-3262,0,0,1,daily news,2006,3,31,20060331,4
same-sex_marriage1.0-3263,0,0,1,new york times,2006,3,31,20060331,4
same-sex_marriage1.0-505,0,1,0,daily news,2003,8,3,20030803,2
same-sex_marriage1.0-507,0,0,1,new york times,2003,8,3,20030803,9
same-sex_marriage1.0-506,0,0,1,herald-sun,2003,8,3,20030803,8
same-sex_marriage1.0-2204,0,0,1,new york times,2004,7,16,20040716,12
same-sex_marriage1.0-2206,0,0,1,st. petersburg times,2004,7,16,20040716,12
same-sex_marriage1.0-2203,0,0,1,herald-sun,2004,7,16,20040716,12
same-sex_marriage1.0-7388,0,0,1,new york times,2011,7,3,20110703,9
same-sex_marriage1.0-3919,0,0,1,new york times,2008,8,1,20080801,4
same-sex_marriage1.0-9525,0,0,1,st. louis post-dispatch,1990,6,12,19900612,11
same-sex_marriage1.0-3916,0,0,1,usa today,2008,8,4,20080804,2
same-sex_marriage1.0-6189,0,0,1,denver post,2010,12,16,20101216,12
same-sex_marriage1.0-6182,0,0,1,san jose mercury news,2010,12,24,20101224,12
same-sex_marriage1.0-6183,0,0,1,saint paul pioneer press,2010,12,24,20101224,12
same-sex_marriage1.0-6185,0,0,1,denver post,2010,12,22,20101222,10
same-sex_marriage1.0-38,0,0,1,saint paul pioneer press,2002,8,14,20020814,3
same-sex_marriage1.0-32,0,0,1,atlanta journal and constitution,2002,8,26,20020826,10
same-sex_marriage1.0-30,0,0,1,philadelphia inquirer,2002,8,29,20020829,10
same-sex_marriage1.0-1511,0,0,1,washington post,2004,3,5,20040305,12
same-sex_marriage1.0-6232,0,0,1,usa today,2010,11,5,20101105,12
same-sex_marriage1.0-1515,0,1,0,atlanta journal and constitution,2004,3,4,20040304,12
same-sex_marriage1.0-1519,0,0,1,herald-sun,2004,3,4,20040304,5
same-sex_marriage1.0-922,0,0,1,new york times,2004,2,20,20040220,12
same-sex_marriage1.0-10731,0,0,1,saint paul pioneer press,2000,9,29,20000929,9
same-sex_marriage1.0-10732,0,0,1,saint paul pioneer press,2000,9,28,20000928,3
same-sex_marriage1.0-10735,0,0,1,saint paul pioneer press,2000,9,26,20000926,0
same-sex_marriage1.0-924,0,0,1,philadelphia inquirer,2004,2,20,20040220,4
same-sex_marriage1.0-8691,0,0,1,new york times,2012,7,22,20120722,10
same-sex_marriage1.0-8694,0,1,0,washington post,2012,7,20,20120720,5
