Varname,House,Date,Topic,Subcode,L1,L2,L3,L4,C2,C3,C4,C5,Other,Index,Source,N,Totcheck,Agenda1,Agenda2,Scope,raceoutcome,racespenddo,raceaa,aidtoblacks,EqualOpp,Added
FIREHOMO,GALLUP,4/25/1987,150,150,14,28,0,0,0,0,24,27,7,45.16,USGALLUP.TM09PR.R402AF,4244,100,202,210,0,0,0,0,0,1,0
FIREHOMO,GALLUP,5/13/1988,150,150,18,25,0,0,0,0,22,29,6,45.74,USGALLUP.588TM.R203F,3021,100,202,210,0,0,0,0,0,1,0
FIREHOMO,GALLUP,1/27/1989,150,150,21,26,0,0,0,0,20,28,5,49.47,USGALLUP.JF88TN.R059BJJ,2048,100,202,210,0,0,0,0,0,1,0
FIREHOMO,PSRA,5/1/1990,150,150,21,24,0,0,0,0,20,29,6,47.87,USPSRA.90TM2A.R402F,3004,100,202,210,0,0,0,0,0,1,0
FIREHOMO,PSRA,10/31/1991,150,150,28,28,0,0,0,0,16,23,5,58.95,USPSRA.120491.R18C,2020,100,202,210,0,0,0,0,0,1,0
FIREHOMO,PSRA,5/28/1992,150,150,28,27,0,0,0,0,16,24,5,57.89,USPSRA.070892.R55F,3517,100,202,210,0,0,0,0,0,1,0
FIREHOMO,PSRA,5/18/1993,150,150,26,34,0,0,0,0,17,17,6,63.83,USPSRA.071693.R901F,1507,100,202,210,0,0,0,0,0,1,0
FIREHOMO,PSRA,7/13/1994,150,150,29,29,0,0,0,0,15,24,3,59.79,USPSRA.94JL13.R52E,1009,100,202,210,0,0,0,0,0,1,0
FIREHOMO,PSRA,11/5/1997,150,150,34,29,0,0,0,0,13,20,4,65.63,USPSRA.042098.R21E,1165,100,202,210,0,0,0,0,0,1,0
FIREHOMO,PSRA,9/28/1999,150,150,36,26,0,0,0,0,12,20,6,65.96,USPSRA.99NV11.R21E,985,100,202,210,0,0,0,0,0,1,0
FIREHOMO,PSRA,7/2/2002,150,150,33,26,0,0,0,0,13,23,5,62.11,USPSRA.03VALMER02.Q16E,2502,100,202,210,0,0,0,0,0,1,0
FIREHOMO,PSRA,7/14/2003,150,150,37,25,0,0,0,0,12,21,5,65.26,USPSRA.110503.R29EF2,2528,100,202,210,0,0,0,0,0,1,0
FIREHOMO,PSRA,12/12/2006,150,150,66,,,,,,,28,,70.21,Pew Report,2007,94,202,210,0,0,0,0,0,1,0
FIREHOMO,PSRA,3/31/2009,150,150,41,26,0,0,0,0,11,17,5,70.53,USPSRA.052109.R31EF2,3013,100,202,210,0,0,0,0,0,1,0
FIREHOMO,PSRA,4/1/2009,150,150,46,20,0,0,0,0,8,17,9,72.53,USPSRNEW.040309.R14C,1003,100,202,210,0,0,0,0,0,1,0
FIREHOMO,PSRA,4/4/2012,150,150,54,21,0,0,0,0,8,13,4,78.1,USPSRA.060412.R41EF2,1805,100,202,210,0,0,0,0,0,1,10/15/2012
GAYMIL,CBSNYT,2/9/1993,150,150,21,21,,,,,13,29,15,50.00,Pollingreport.com,0,99,202,211,0,0,0,0,0,1,0
GAYMIL,NES,11/15/1996,150,150,67 ,0 ,0 ,0 ,0 ,0 ,0 ,29,3,69.79,sm96.POR V961195 10-19,1336,99,202,211,0,0,0,0,0,1,0
GAYMIL,NES,12/15/1996,150,150,69 ,0 ,0 ,0 ,0 ,0 ,0 ,30,2,69.70,sm96.POR V961195 10-19,186,101,202,211,0,0,0,0,0,1,0
GAYMIL,NES,9/15/2000,150,150,75 ,0 ,0 ,0 ,0 ,0 ,0 ,25,0,75.00,NES2000.v000727,779,100,202,211,0,0,0,0,0,1,0
GAYMIL,NES,10/15/2000,150,150,76 ,0 ,0 ,0 ,0 ,0 ,0 ,24,0,76.00,NES2000.v000727,676,100,202,211,0,0,0,0,0,1,0
GAYMIL,NES,11/3/2000,150,150,76 ,0 ,0 ,0 ,0 ,0 ,0 ,24,0,76.00,NES2000.v000727,239,100,202,211,0,0,0,0,0,1,0
GAYMIL,NES,10/15/2004,150,150,81 ,0 ,0 ,0 ,0 ,0 ,0 ,19,,81.00,computed from nes04.dta,1212,100,202,211,0,0,0,0,0,1,0
GAYMIL,ORC,5/4/2007,150,150,79,,,,,,,18,3,81.44,Pollingreport.com,1023,100,202,211,0,0,0,0,0,1,0
GAYMIL,NES,10/15/2008,150,150,76.1,,,,,,,20.8,3.2,78.53,v083212,2233,100,202,211,0,0,0,0,0,1,07/20/13
GAYMIL,ORC,12/19/2008,150,150,81,,,,,,,17,1,82.65,Pollingreport.com,1023,99,202,211,0,0,0,0,0,1,0
GAYMIL,CBSNYT,1/11/2009,150,150,46,21,,,,,6,11,16,79.76,Pollingreport.com,0,100,202,211,0,0,0,0,0,1,0
GAYMIL,CBSNYT,2/5/2010,150,150,34,25,,,,,10,19,12,67.05,Pollingreport.com,550,100,202,211,0,0,0,0,0,1,0
GAYMIL,ORC,5/21/2010,150,150,78,,,,,,,20,2,79.59,Pollingreport.com,1023,100,202,211,0,0,0,0,0,1,0
GAYMIL,NES,10/15/2012,150,150,42.9 ,,,,,,,5,52,89.00,NES12-gayrt_milrev,2056,100,202,211,0,0,0,0,0,1,07/19/13
GMILABC1,ABCWP,5/1/1993,150,150,63,,,,,,,35,2,64.29,PollingReport.com,0,100,202,211,0,0,0,0,0,1,0
GMILABC1,ABCWP,1/1/2001,150,150,75,,,,,,,22,3,77.32,PollingReport.com,0,100,202,211,0,0,0,0,0,1,0
GMILABC1,ABCWP,7/10/2008,150,150,78,,,,,,,18,5,81.25,PollingReport.com,0,101,202,211,0,0,0,0,0,1,0
GMILABC1,ABCWP,2/4/2010,150,150,83,,,,,,,15,1,84.69,PollingReport.com,1004,99,202,211,0,0,0,0,0,1,0
GMILABC1,ABCWP,2/4/2010,150,150,83,,,,,,,14,4,85.6,USABCWP.20101119.Q026,1001,101,202,211,0,0,0,0,0,1,10/15/2012
GMILABC2,ABCWP,5/1/1993,150,150,44,,,,,,,55,2,44.44,PollingReport.com,0,101,202,211,0,0,0,0,0,1,0
