,Test,Train,Source,Year,Month,Day,FullDate,Pro,Neutral,Anti
same-sex_marriage1.0-888,0,0,atlanta journal and constitution,2004,2,22,20040222,1,0,0
same-sex_marriage1.0-889,0,0,denver post,2004,2,22,20040222,0,0,1
same-sex_marriage1.0-4451,0,0,new york times,2007,6,11,20070611,1,0,0
same-sex_marriage1.0-880,0,0,herald-sun,2004,2,23,20040223,1,0,0
same-sex_marriage1.0-881,0,1,new york times,2004,2,23,20040223,1,0,0
same-sex_marriage1.0-883,0,0,san jose mercury news,2004,2,23,20040223,1,0,0
same-sex_marriage1.0-884,0,1,st. petersburg times,2004,2,23,20040223,0,0,1
same-sex_marriage1.0-885,0,1,st. louis post-dispatch,2004,2,23,20040223,0,1,0
same-sex_marriage1.0-886,0,0,washington post,2004,2,23,20040223,0,1,0
same-sex_marriage1.0-887,0,1,washington post,2004,2,23,20040223,0,1,0
same-sex_marriage1.0-2950,0,1,daily news,2005,3,4,20050304,0,1,0
same-sex_marriage1.0-2953,0,1,new york times,2005,3,2,20050302,1,0,0
same-sex_marriage1.0-2955,0,0,san jose mercury news,2005,3,1,20050301,0,1,0
same-sex_marriage1.0-2954,0,0,new york times,2005,3,1,20050301,1,0,0
same-sex_marriage1.0-5155,0,1,new york times,2008,5,31,20080531,0,0,1
same-sex_marriage1.0-5156,0,0,new york times,2008,5,31,20080531,1,0,0
same-sex_marriage1.0-5157,0,1,san jose mercury news,2008,5,31,20080531,0,0,1
same-sex_marriage1.0-5151,0,1,palm beach post,2008,6,1,20080601,1,0,0
same-sex_marriage1.0-2958,0,0,palm beach post,2005,2,26,20050226,1,0,0
same-sex_marriage1.0-1509,0,1,st. petersburg times,2004,3,5,20040305,0,0,1
same-sex_marriage1.0-7804,0,1,new york times,2012,3,16,20120316,1,0,0
same-sex_marriage1.0-7806,0,1,tampa bay times,2012,3,16,20120316,1,0,0
same-sex_marriage1.0-7801,0,1,new york times,2012,3,22,20120322,1,0,0
same-sex_marriage1.0-7802,0,1,new york times,2012,3,21,20120321,1,0,0
same-sex_marriage1.0-1507,0,0,san jose mercury news,2004,3,5,20040305,0,0,1
same-sex_marriage1.0-1506,0,0,saint paul pioneer press,2004,3,5,20040305,0,0,1
same-sex_marriage1.0-1504,0,0,philadelphia inquirer,2004,3,5,20040305,0,1,0
same-sex_marriage1.0-1503,0,1,new york times,2004,3,5,20040305,0,1,0
same-sex_marriage1.0-4340,0,0,st. louis post-dispatch,2007,12,13,20071213,1,0,0
same-sex_marriage1.0-4611,0,0,usa today,2011,6,29,20110629,1,0,0
same-sex_marriage1.0-9224,0,1,washington post,2012,11,7,20121107,1,0,0
same-sex_marriage1.0-3206,0,0,atlanta journal and constitution,2006,5,18,20060518,1,0,0
same-sex_marriage1.0-9229,0,1,washington post,2012,11,7,20121107,1,0,0
same-sex_marriage1.0-5216,0,1,new york times,2008,5,16,20080516,1,0,0
same-sex_marriage1.0-4207,0,1,st. louis post-dispatch,2006,9,15,20060915,1,0,0
same-sex_marriage1.0-4206,0,0,denver post,2006,9,15,20060915,1,0,0
same-sex_marriage1.0-10548,0,1,atlanta journal and constitution,1997,7,12,19970712,0,0,1
same-sex_marriage1.0-10549,0,0,herald-sun,1997,7,10,19970710,0,1,0
same-sex_marriage1.0-4203,0,1,daily news,2006,9,20,20060920,1,0,0
same-sex_marriage1.0-4202,0,0,washington post,2006,9,24,20060924,1,0,0
same-sex_marriage1.0-4201,0,0,denver post,2006,9,25,20060925,1,0,0
same-sex_marriage1.0-10542,0,0,atlanta journal and constitution,1997,7,24,19970724,0,1,0
same-sex_marriage1.0-10543,0,1,philadelphia inquirer,1997,7,20,19970720,0,0,1
same-sex_marriage1.0-10540,0,1,denver post,1997,8,3,19970803,1,0,0
same-sex_marriage1.0-10541,0,0,new york times,1997,7,25,19970725,1,0,0
same-sex_marriage1.0-10546,0,0,san jose mercury news,1997,7,16,19970716,0,1,0
same-sex_marriage1.0-10545,0,0,san jose mercury news,1997,7,18,19970718,1,0,0
same-sex_marriage1.0-7865,0,1,new york times,2012,2,19,20120219,1,0,0
same-sex_marriage1.0-3745,0,1,usa today,2008,11,11,20081111,1,0,0
same-sex_marriage1.0-6603,0,0,philadelphia inquirer,2010,1,9,20100109,1,0,0
same-sex_marriage1.0-3749,0,1,new york times,2008,11,9,20081109,1,0,0
same-sex_marriage1.0-10139,0,0,st. louis post-dispatch,1996,6,11,19960611,1,0,0
same-sex_marriage1.0-10138,0,1,herald-sun,1996,6,11,19960611,0,0,1
same-sex_marriage1.0-10198,0,0,saint paul pioneer press,1996,5,23,19960523,0,0,1
same-sex_marriage1.0-10132,0,1,new york times,1996,6,13,19960613,0,0,1
same-sex_marriage1.0-10130,0,1,herald-sun,1996,6,14,19960614,0,1,0
same-sex_marriage1.0-10137,0,0,washington post,1996,6,12,19960612,1,0,0
same-sex_marriage1.0-10136,0,1,saint paul pioneer press,1996,6,12,19960612,0,0,1
same-sex_marriage1.0-10135,0,0,washington post,1996,6,13,19960613,0,0,1
same-sex_marriage1.0-3008,0,1,st. louis post-dispatch,2005,2,6,20050206,0,0,1
same-sex_marriage1.0-3001,0,0,new york times,2005,2,7,20050207,1,0,0
same-sex_marriage1.0-3002,0,0,daily news,2005,2,6,20050206,1,0,0
same-sex_marriage1.0-3003,0,1,daily news,2005,2,6,20050206,1,0,0
same-sex_marriage1.0-3005,0,0,new york times,2005,2,6,20050206,1,0,0
same-sex_marriage1.0-3006,0,0,new york times,2005,2,6,20050206,1,0,0
same-sex_marriage1.0-10194,0,0,daily news,1996,5,23,19960523,0,0,1
same-sex_marriage1.0-7384,0,0,atlanta journal and constitution,2011,7,3,20110703,1,0,0
same-sex_marriage1.0-3268,0,1,washington post,2006,3,31,20060331,0,0,1
same-sex_marriage1.0-3269,0,1,palm beach post,2006,3,30,20060330,0,0,1
same-sex_marriage1.0-3264,0,0,philadelphia inquirer,2006,3,31,20060331,0,0,1
same-sex_marriage1.0-3266,0,1,saint paul pioneer press,2006,3,31,20060331,0,0,1
same-sex_marriage1.0-3267,0,1,usa today,2006,3,31,20060331,0,0,1
same-sex_marriage1.0-3260,0,0,usa today,2006,4,3,20060403,0,0,1
same-sex_marriage1.0-3261,0,0,new york times,2006,4,2,20060402,1,0,0
same-sex_marriage1.0-3262,0,1,daily news,2006,3,31,20060331,1,0,0
same-sex_marriage1.0-3263,0,1,new york times,2006,3,31,20060331,0,0,1
same-sex_marriage1.0-505,0,1,daily news,2003,8,3,20030803,1,0,0
same-sex_marriage1.0-504,0,0,atlanta journal and constitution,2003,8,3,20030803,0,0,1
same-sex_marriage1.0-507,0,1,new york times,2003,8,3,20030803,1,0,0
same-sex_marriage1.0-506,0,1,herald-sun,2003,8,3,20030803,1,0,0
same-sex_marriage1.0-500,0,0,herald-sun,2003,8,5,20030805,0,1,0
same-sex_marriage1.0-503,0,0,atlanta journal and constitution,2003,8,3,20030803,0,1,0
same-sex_marriage1.0-502,0,0,st. petersburg times,2003,8,5,20030805,1,0,0
same-sex_marriage1.0-509,0,0,new york times,2003,8,3,20030803,1,0,0
same-sex_marriage1.0-508,0,0,new york times,2003,8,3,20030803,1,0,0
same-sex_marriage1.0-2209,0,0,daily news,2004,7,15,20040715,1,0,0
same-sex_marriage1.0-2208,0,0,atlanta journal and constitution,2004,7,15,20040715,0,1,0
same-sex_marriage1.0-2205,0,0,new york times,2004,7,16,20040716,0,0,1
same-sex_marriage1.0-2204,0,1,new york times,2004,7,16,20040716,0,0,1
same-sex_marriage1.0-2206,0,1,st. petersburg times,2004,7,16,20040716,0,1,0
same-sex_marriage1.0-2201,0,0,atlanta journal and constitution,2004,7,16,20040716,1,0,0
same-sex_marriage1.0-2203,1,0,herald-sun,2004,7,16,20040716,0,1,0
same-sex_marriage1.0-2202,0,0,denver post,2004,7,16,20040716,0,0,1
same-sex_marriage1.0-7388,0,1,new york times,2011,7,3,20110703,0,1,0
same-sex_marriage1.0-3919,0,1,new york times,2008,8,1,20080801,1,0,0
same-sex_marriage1.0-3910,0,0,san jose mercury news,2008,8,12,20080812,0,1,0
same-sex_marriage1.0-3911,0,0,new york times,2008,8,11,20080811,0,0,1
same-sex_marriage1.0-3916,0,1,usa today,2008,8,4,20080804,0,1,0
same-sex_marriage1.0-6188,0,0,washington post,2010,12,19,20101219,0,0,1
same-sex_marriage1.0-6189,0,1,denver post,2010,12,16,20101216,1,0,0
same-sex_marriage1.0-6182,0,1,san jose mercury news,2010,12,24,20101224,1,0,0
same-sex_marriage1.0-6183,0,1,saint paul pioneer press,2010,12,24,20101224,1,0,0
same-sex_marriage1.0-6180,0,0,daily news,2010,12,25,20101225,1,0,0
same-sex_marriage1.0-6181,0,0,washington post,2010,12,25,20101225,1,0,0
same-sex_marriage1.0-6187,0,0,denver post,2010,12,19,20101219,1,0,0
same-sex_marriage1.0-6184,0,0,washington post,2010,12,24,20101224,0,1,0
same-sex_marriage1.0-6185,0,1,denver post,2010,12,22,20101222,1,0,0
same-sex_marriage1.0-7585,0,0,new york times,2012,2,14,20120214,1,0,0
same-sex_marriage1.0-38,0,1,saint paul pioneer press,2002,8,14,20020814,1,0,0
same-sex_marriage1.0-39,0,0,st. louis post-dispatch,2002,8,14,20020814,1,0,0
same-sex_marriage1.0-36,0,0,new york times,2002,8,18,20020818,1,0,0
same-sex_marriage1.0-32,0,1,atlanta journal and constitution,2002,8,26,20020826,1,0,0
same-sex_marriage1.0-33,0,0,st. louis post-dispatch,2002,8,25,20020825,1,0,0
same-sex_marriage1.0-30,0,1,philadelphia inquirer,2002,8,29,20020829,1,0,0
same-sex_marriage1.0-31,0,0,new york times,2002,8,28,20020828,1,0,0
same-sex_marriage1.0-1511,1,0,washington post,2004,3,5,20040305,1,0,0
same-sex_marriage1.0-1513,0,0,atlanta journal and constitution,2004,3,4,20040304,0,1,0
same-sex_marriage1.0-1514,0,0,atlanta journal and constitution,2004,3,4,20040304,1,0,0
same-sex_marriage1.0-1515,0,1,atlanta journal and constitution,2004,3,4,20040304,0,0,1
same-sex_marriage1.0-1516,0,0,daily news,2004,3,4,20040304,1,0,0
same-sex_marriage1.0-1518,0,0,daily news,2004,3,4,20040304,0,0,1
same-sex_marriage1.0-1519,1,0,herald-sun,2004,3,4,20040304,1,0,0
same-sex_marriage1.0-923,0,0,new york times,2004,2,20,20040220,1,0,0
same-sex_marriage1.0-922,0,1,new york times,2004,2,20,20040220,1,0,0
same-sex_marriage1.0-436,0,0,san jose mercury news,2003,9,2,20030902,1,0,0
same-sex_marriage1.0-927,0,0,washington post,2004,2,20,20040220,1,0,0
same-sex_marriage1.0-430,0,0,st. louis post-dispatch,2003,9,7,20030907,1,0,0
same-sex_marriage1.0-10730,0,0,denver post,2000,10,5,20001005,0,0,1
same-sex_marriage1.0-10732,0,1,saint paul pioneer press,2000,9,28,20000928,1,0,0
same-sex_marriage1.0-10735,0,1,saint paul pioneer press,2000,9,26,20000926,1,0,0
same-sex_marriage1.0-10734,0,0,new york times,2000,9,26,20000926,1,0,0
same-sex_marriage1.0-10737,0,0,san jose mercury news,2000,9,26,20000926,1,0,0
same-sex_marriage1.0-10736,0,0,saint paul pioneer press,2000,9,26,20000926,1,0,0
same-sex_marriage1.0-10739,0,0,philadelphia inquirer,2000,9,22,20000922,1,0,0
same-sex_marriage1.0-10738,0,0,new york times,2000,9,22,20000922,1,0,0
same-sex_marriage1.0-924,0,1,philadelphia inquirer,2004,2,20,20040220,1,0,0
same-sex_marriage1.0-8690,0,0,daily news,2012,7,22,20120722,1,0,0
same-sex_marriage1.0-8691,0,1,new york times,2012,7,22,20120722,1,0,0
