,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,primary
Tobacco1.0-20714,0,0,1,washington post,2005,6,8,20050608,0
Tobacco1.0-11523,0,0,1,philadelphia inquirer,1996,12,13,19961213,9
Tobacco1.0-20245,0,0,1,saint paul pioneer press,2004,6,13,20040613,9
Tobacco1.0-21666,0,0,1,daily news,2009,11,1,20091101,0
Tobacco1.0-17979,0,1,0,palm beach post,2001,12,30,20011230,6
Tobacco1.0-17978,0,1,0,washington post,2000,10,1,20001001,0
Tobacco1.0-5108,0,0,1,washington post,2007,2,1,20070201,5
Tobacco1.0-9318,0,0,1,san jose mercury news,1995,8,24,19950824,8
Tobacco1.0-456,0,0,1,new york times,1991,3,15,19910315,8
Tobacco1.0-988,0,0,1,usa today,1994,3,29,19940329,5
Tobacco1.0-10215,0,0,1,daily news,1995,11,9,19951109,2
Tobacco1.0-1626,0,0,1,philadelphia inquirer,1995,1,4,19950104,8
Tobacco1.0-10211,0,0,1,st. louis post-dispatch,1995,11,10,19951110,4
Tobacco1.0-15153,0,0,1,daily news,1998,11,28,19981128,9
Tobacco1.0-10679,0,0,1,palm beach post,1993,9,11,19930911,8
Tobacco1.0-20397,0,0,1,saint paul pioneer press,2004,5,6,20040506,12
Tobacco1.0-20436,0,1,0,new york times,2004,4,25,20040425,5
Tobacco1.0-14316,0,0,1,saint paul pioneer press,1998,2,26,19980226,2
Tobacco1.0-19864,0,0,1,new york times,2004,9,23,20040923,4
Tobacco1.0-10671,0,0,1,atlanta journal and constitution,1993,9,16,19930916,0
Tobacco1.0-1128,0,0,1,san jose mercury news,1994,3,2,19940302,12
Tobacco1.0-24826,0,0,1,st. petersburg times,2004,2,24,20040224,8
Tobacco1.0-13414,0,0,1,st. louis post-dispatch,1997,8,12,19970812,10
Tobacco1.0-27094,0,1,0,palm beach post,1990,2,23,19900223,8
Tobacco1.0-21706,0,0,1,palm beach post,2009,10,5,20091005,0
Tobacco1.0-23985,0,0,1,atlanta journal and constitution,2003,4,24,20030424,12
Tobacco1.0-10694,0,0,1,usa today,1993,9,3,19930903,0
Tobacco1.0-25665,0,0,1,washington post,2006,10,27,20061027,5
Tobacco1.0-1028,0,0,1,usa today,1994,3,24,19940324,0
Tobacco1.0-26490,0,0,1,herald-sun,2012,8,3,20120803,5
Tobacco1.0-26491,0,0,1,new york times,2012,8,3,20120803,0
Tobacco1.0-10852,0,0,1,new york times,1994,11,7,19941107,12
Tobacco1.0-13637,0,0,1,palm beach post,1997,10,11,19971011,0
Tobacco1.0-26498,0,0,1,herald-sun,2012,7,28,20120728,4
Tobacco1.0-26499,0,0,1,st. louis post-dispatch,2012,7,26,20120726,8
Tobacco1.0-12104,0,0,1,new york times,1997,4,15,19970415,12
Tobacco1.0-14770,0,0,1,washington post,1998,5,9,19980509,8
Tobacco1.0-14771,0,1,0,atlanta journal and constitution,1998,5,8,19980508,12
Tobacco1.0-19917,0,0,1,san jose mercury news,2004,9,13,20040913,5
Tobacco1.0-19915,0,0,1,st. louis post-dispatch,2004,9,14,20040914,0
Tobacco1.0-857,0,0,1,st. petersburg times,1993,2,10,19930210,9
Tobacco1.0-13251,0,0,1,herald-sun,1997,8,27,19970827,4
Tobacco1.0-17201,0,0,1,atlanta journal and constitution,1998,3,7,19980307,6
Tobacco1.0-14176,0,0,1,st. louis post-dispatch,1997,11,25,19971125,9
Tobacco1.0-14175,0,0,1,saint paul pioneer press,1997,11,25,19971125,8
Tobacco1.0-20405,0,0,1,san jose mercury news,2004,5,3,20040503,0
Tobacco1.0-16036,0,0,1,saint paul pioneer press,1999,4,21,19990421,10
Tobacco1.0-14630,0,0,1,atlanta journal and constitution,1998,5,20,19980520,5
Tobacco1.0-10351,0,0,1,herald-sun,1995,9,29,19950929,8
Tobacco1.0-26839,0,0,1,palm beach post,2013,2,18,20130218,5
Tobacco1.0-12699,0,0,1,philadelphia inquirer,1997,6,22,19970622,4
Tobacco1.0-13741,0,0,1,saint paul pioneer press,1997,9,26,19970926,5
Tobacco1.0-12128,0,0,1,new york times,1997,4,12,19970412,12
Tobacco1.0-12121,0,0,1,saint paul pioneer press,1997,4,13,19970413,9
Tobacco1.0-19640,0,0,1,herald-sun,2004,12,4,20041204,10
Tobacco1.0-23153,0,0,1,palm beach post,2000,7,23,20000723,8
Tobacco1.0-12235,0,0,1,palm beach post,1997,5,31,19970531,4
Tobacco1.0-5638,0,1,0,atlanta journal and constitution,2008,6,2,20080602,5
Tobacco1.0-18737,0,0,1,daily news,2002,8,9,20020809,6
Tobacco1.0-3966,0,1,0,atlanta journal and constitution,2001,1,21,20010121,8
Tobacco1.0-12239,0,0,1,san jose mercury news,1997,5,31,19970531,4
Tobacco1.0-21044,0,0,1,new york times,2005,11,15,20051115,10
Tobacco1.0-11033,0,0,1,philadelphia inquirer,1996,9,22,19960922,11
Tobacco1.0-23402,0,0,1,new york times,2003,3,18,20030318,8
Tobacco1.0-21049,0,0,1,new york times,2005,11,13,20051113,10
Tobacco1.0-25578,0,0,1,washington post,2006,11,19,20061119,10
Tobacco1.0-5813,0,0,1,st. louis post-dispatch,2008,3,7,20080307,5
Tobacco1.0-24887,0,0,1,st. louis post-dispatch,2004,2,5,20040205,5
Tobacco1.0-17550,0,0,1,philadelphia inquirer,1998,7,25,19980725,13
Tobacco1.0-17556,0,0,1,st. louis post-dispatch,1998,7,24,19980724,8
Tobacco1.0-7885,0,0,1,new york times,1994,4,5,19940405,5
Tobacco1.0-19007,0,1,0,saint paul pioneer press,2002,5,18,20020518,4
Tobacco1.0-15157,0,0,1,atlanta journal and constitution,1998,11,27,19981127,0
Tobacco1.0-12344,0,0,1,palm beach post,1997,5,22,19970522,5
Tobacco1.0-3361,0,0,1,palm beach post,2000,3,31,20000331,4
Tobacco1.0-17795,0,0,1,st. petersburg times,2000,11,28,20001128,6
Tobacco1.0-2220,0,0,1,saint paul pioneer press,1997,3,21,19970321,4
Tobacco1.0-16935,0,0,1,washington post,1999,10,6,19991006,0
Tobacco1.0-16930,0,1,0,palm beach post,1999,10,7,19991007,12
Tobacco1.0-1134,0,0,1,st. louis post-dispatch,1994,3,1,19940301,8
Tobacco1.0-25379,0,0,1,san jose mercury news,2006,5,2,20060502,8
Tobacco1.0-6215,0,0,1,washington post,2011,6,26,20110626,5
Tobacco1.0-8229,0,0,1,palm beach post,1995,4,9,19950409,10
Tobacco1.0-25370,0,0,1,st. petersburg times,2006,5,4,20060504,0
Tobacco1.0-23724,0,0,1,atlanta journal and constitution,2003,6,18,20030618,0
Tobacco1.0-18977,0,0,1,philadelphia inquirer,2002,5,26,20020526,0
Tobacco1.0-19463,0,0,1,saint paul pioneer press,2002,10,8,20021008,5
Tobacco1.0-19462,0,0,1,new york times,2002,10,8,20021008,5
Tobacco1.0-18999,0,0,1,herald-sun,2002,5,21,20020521,4
Tobacco1.0-19448,0,0,1,daily news,2002,10,10,20021010,12
Tobacco1.0-19469,0,0,1,philadelphia inquirer,2002,10,7,20021007,5
Tobacco1.0-18992,0,0,1,herald-sun,2002,5,22,20020522,0
Tobacco1.0-16206,0,0,1,atlanta journal and constitution,1999,9,21,19990921,0
Tobacco1.0-14930,0,0,1,denver post,1998,6,21,19980621,12
Tobacco1.0-19260,0,0,1,atlanta journal and constitution,2002,12,3,20021203,5
Tobacco1.0-12084,0,0,1,saint paul pioneer press,1997,4,17,19970417,0
Tobacco1.0-16209,0,0,1,st. louis post-dispatch,1999,9,21,19990921,5
Tobacco1.0-2592,0,0,1,palm beach post,1997,1,4,19970104,4
Tobacco1.0-16842,0,0,1,st. louis post-dispatch,1999,10,28,19991028,13
Tobacco1.0-11539,0,0,1,palm beach post,1996,12,7,19961207,4
Tobacco1.0-22064,0,0,1,washington post,2010,9,1,20100901,10
Tobacco1.0-16848,0,0,1,palm beach post,1999,10,24,19991024,4
Tobacco1.0-11536,0,0,1,palm beach post,1996,12,8,19961208,10
Tobacco1.0-10286,0,0,1,san jose mercury news,1995,10,24,19951024,8
Tobacco1.0-21197,0,0,1,saint paul pioneer press,2005,8,27,20050827,0
Tobacco1.0-6859,0,0,1,atlanta journal and constitution,1992,8,2,19920802,9
Tobacco1.0-7270,0,0,1,st. louis post-dispatch,1993,6,24,19930624,10
Tobacco1.0-24970,0,0,1,st. louis post-dispatch,2004,1,7,20040107,0
Tobacco1.0-7272,0,0,1,usa today,1993,6,24,19930624,0
Tobacco1.0-6677,0,0,1,new york times,2012,3,18,20120318,5
Tobacco1.0-24978,0,0,1,new york times,2004,1,4,20040104,0
Tobacco1.0-6671,0,0,1,st. louis post-dispatch,2012,3,20,20120320,5
Tobacco1.0-6854,0,0,1,new york times,1992,8,5,19920805,2
Tobacco1.0-22719,0,0,1,denver post,2000,5,3,20000503,0
Tobacco1.0-26736,0,0,1,daily news,2013,4,22,20130422,6
Tobacco1.0-8057,0,0,1,san jose mercury news,1995,5,23,19950523,8
Tobacco1.0-7095,0,1,0,atlanta journal and constitution,1992,5,5,19920505,5
Tobacco1.0-2576,0,0,1,palm beach post,1997,1,10,19970110,4
Tobacco1.0-16443,0,0,1,new york times,1999,7,21,19990721,3
Tobacco1.0-23624,0,0,1,st. louis post-dispatch,2003,1,18,20030118,5
Tobacco1.0-22488,0,0,1,herald-sun,2000,6,23,20000623,4
