,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,Pro,Neutral,Anti
Tobacco1.0-20714,0,0,1,washington post,2005,6,8,20050608,1,0,0
Tobacco1.0-11523,0,0,1,philadelphia inquirer,1996,12,13,19961213,0,0,1
Tobacco1.0-20245,0,1,0,saint paul pioneer press,2004,6,13,20040613,1,0,0
Tobacco1.0-21666,0,1,0,daily news,2009,11,1,20091101,0,0,1
Tobacco1.0-17978,0,0,1,washington post,2000,10,1,20001001,0,1,0
Tobacco1.0-5108,0,0,1,washington post,2007,2,1,20070201,0,1,0
Tobacco1.0-9318,0,0,1,san jose mercury news,1995,8,24,19950824,0,0,1
Tobacco1.0-456,0,0,1,new york times,1991,3,15,19910315,1,0,0
Tobacco1.0-988,0,0,1,usa today,1994,3,29,19940329,0,0,1
Tobacco1.0-10215,0,0,1,daily news,1995,11,9,19951109,0,0,1
Tobacco1.0-1626,0,0,1,philadelphia inquirer,1995,1,4,19950104,0,0,1
Tobacco1.0-10211,0,0,1,st. louis post-dispatch,1995,11,10,19951110,0,0,1
Tobacco1.0-10210,0,0,1,philadelphia inquirer,1995,11,10,19951110,1,0,0
Tobacco1.0-15153,0,0,1,daily news,1998,11,28,19981128,0,0,1
Tobacco1.0-20390,0,0,1,saint paul pioneer press,2004,5,7,20040507,0,0,1
Tobacco1.0-1125,0,0,1,atlanta journal and constitution,1994,3,2,19940302,0,0,1
Tobacco1.0-10679,0,0,1,palm beach post,1993,9,11,19930911,0,0,1
Tobacco1.0-20397,0,0,1,saint paul pioneer press,2004,5,6,20040506,0,1,0
Tobacco1.0-20436,0,1,0,new york times,2004,4,25,20040425,1,0,0
Tobacco1.0-14316,0,0,1,saint paul pioneer press,1998,2,26,19980226,0,0,1
Tobacco1.0-19864,0,0,1,new york times,2004,9,23,20040923,1,0,0
Tobacco1.0-10671,0,1,0,atlanta journal and constitution,1993,9,16,19930916,0,1,0
Tobacco1.0-1128,0,0,1,san jose mercury news,1994,3,2,19940302,0,1,0
Tobacco1.0-24826,0,0,1,st. petersburg times,2004,2,24,20040224,0,0,1
Tobacco1.0-13414,0,1,0,st. louis post-dispatch,1997,8,12,19970812,0,0,1
Tobacco1.0-27094,0,0,1,palm beach post,1990,2,23,19900223,0,0,1
Tobacco1.0-21706,0,0,1,palm beach post,2009,10,5,20091005,0,0,1
Tobacco1.0-23985,0,0,1,atlanta journal and constitution,2003,4,24,20030424,0,0,1
Tobacco1.0-10694,0,0,1,usa today,1993,9,3,19930903,1,0,0
Tobacco1.0-25665,0,0,1,washington post,2006,10,27,20061027,0,0,1
Tobacco1.0-1028,0,0,1,usa today,1994,3,24,19940324,0,1,0
Tobacco1.0-26490,0,0,1,herald-sun,2012,8,3,20120803,0,0,1
Tobacco1.0-26491,0,0,1,new york times,2012,8,3,20120803,0,1,0
Tobacco1.0-10852,0,0,1,new york times,1994,11,7,19941107,1,0,0
Tobacco1.0-13324,0,0,1,saint paul pioneer press,1997,8,22,19970822,0,0,1
Tobacco1.0-26498,0,0,1,herald-sun,2012,7,28,20120728,0,0,1
Tobacco1.0-26499,0,0,1,st. louis post-dispatch,2012,7,26,20120726,0,0,1
Tobacco1.0-12104,0,0,1,new york times,1997,4,15,19970415,0,0,1
Tobacco1.0-14770,0,0,1,washington post,1998,5,9,19980509,0,0,1
Tobacco1.0-14771,0,0,1,atlanta journal and constitution,1998,5,8,19980508,0,0,1
Tobacco1.0-19917,0,0,1,san jose mercury news,2004,9,13,20040913,0,0,1
Tobacco1.0-14953,0,0,1,atlanta journal and constitution,1998,6,19,19980619,0,1,0
Tobacco1.0-857,0,1,0,st. petersburg times,1993,2,10,19930210,0,0,1
Tobacco1.0-13251,0,0,1,herald-sun,1997,8,27,19970827,0,0,1
Tobacco1.0-17201,0,0,1,atlanta journal and constitution,1998,3,7,19980307,0,1,0
Tobacco1.0-14176,0,0,1,st. louis post-dispatch,1997,11,25,19971125,0,0,1
Tobacco1.0-14175,0,0,1,saint paul pioneer press,1997,11,25,19971125,0,0,1
Tobacco1.0-20405,0,0,1,san jose mercury news,2004,5,3,20040503,0,1,0
Tobacco1.0-16036,0,0,1,saint paul pioneer press,1999,4,21,19990421,0,0,1
Tobacco1.0-14630,0,0,1,atlanta journal and constitution,1998,5,20,19980520,1,0,0
Tobacco1.0-10351,0,0,1,herald-sun,1995,9,29,19950929,0,0,1
Tobacco1.0-26839,0,0,1,palm beach post,2013,2,18,20130218,0,0,1
Tobacco1.0-12699,0,0,1,philadelphia inquirer,1997,6,22,19970622,0,0,1
Tobacco1.0-13741,0,0,1,saint paul pioneer press,1997,9,26,19970926,0,0,1
Tobacco1.0-12128,0,0,1,new york times,1997,4,12,19970412,0,0,1
Tobacco1.0-12931,0,0,1,saint paul pioneer press,1997,6,2,19970602,0,0,1
Tobacco1.0-12121,0,0,1,saint paul pioneer press,1997,4,13,19970413,0,0,1
Tobacco1.0-19640,0,0,1,herald-sun,2004,12,4,20041204,0,1,0
Tobacco1.0-16152,0,0,1,herald-sun,1999,9,30,19990930,0,0,1
Tobacco1.0-23153,0,0,1,palm beach post,2000,7,23,20000723,0,0,1
Tobacco1.0-12237,0,0,1,saint paul pioneer press,1997,5,31,19970531,0,0,1
Tobacco1.0-12235,0,0,1,palm beach post,1997,5,31,19970531,0,0,1
Tobacco1.0-17375,0,0,1,washington post,1998,8,30,19980830,0,0,1
Tobacco1.0-5638,0,0,1,atlanta journal and constitution,2008,6,2,20080602,0,0,1
Tobacco1.0-17378,0,0,1,herald-sun,1998,8,28,19980828,0,1,0
Tobacco1.0-3966,0,0,1,atlanta journal and constitution,2001,1,21,20010121,0,0,1
Tobacco1.0-12239,0,0,1,san jose mercury news,1997,5,31,19970531,1,0,0
Tobacco1.0-6458,0,0,1,st. louis post-dispatch,2011,2,13,20110213,1,0,0
Tobacco1.0-5106,0,0,1,philadelphia inquirer,2007,2,1,20070201,0,0,1
Tobacco1.0-11033,0,1,0,philadelphia inquirer,1996,9,22,19960922,0,1,0
Tobacco1.0-16897,0,0,1,philadelphia inquirer,1999,10,14,19991014,1,0,0
Tobacco1.0-23402,0,0,1,new york times,2003,3,18,20030318,0,0,1
Tobacco1.0-21049,0,0,1,new york times,2005,11,13,20051113,1,0,0
Tobacco1.0-25578,0,0,1,washington post,2006,11,19,20061119,1,0,0
Tobacco1.0-20831,0,0,1,atlanta journal and constitution,2005,4,26,20050426,0,0,1
Tobacco1.0-5813,0,1,0,st. louis post-dispatch,2008,3,7,20080307,0,1,0
Tobacco1.0-24887,0,1,0,st. louis post-dispatch,2004,2,5,20040205,0,0,1
Tobacco1.0-17550,0,0,1,philadelphia inquirer,1998,7,25,19980725,0,0,1
Tobacco1.0-17556,0,0,1,st. louis post-dispatch,1998,7,24,19980724,0,0,1
Tobacco1.0-7885,0,0,1,new york times,1994,4,5,19940405,0,0,1
Tobacco1.0-19007,0,0,1,saint paul pioneer press,2002,5,18,20020518,0,0,1
Tobacco1.0-15157,0,0,1,atlanta journal and constitution,1998,11,27,19981127,0,0,1
Tobacco1.0-12344,0,0,1,palm beach post,1997,5,22,19970522,0,0,1
Tobacco1.0-3361,0,0,1,palm beach post,2000,3,31,20000331,1,0,0
Tobacco1.0-4148,0,1,0,new york times,2002,2,19,20020219,0,0,1
Tobacco1.0-2220,0,0,1,saint paul pioneer press,1997,3,21,19970321,0,0,1
Tobacco1.0-16935,0,1,0,washington post,1999,10,6,19991006,0,0,1
Tobacco1.0-16930,0,0,1,palm beach post,1999,10,7,19991007,0,1,0
Tobacco1.0-1134,0,0,1,st. louis post-dispatch,1994,3,1,19940301,0,0,1
Tobacco1.0-25379,0,0,1,san jose mercury news,2006,5,2,20060502,0,0,1
Tobacco1.0-6215,0,0,1,washington post,2011,6,26,20110626,0,0,1
Tobacco1.0-8229,0,0,1,palm beach post,1995,4,9,19950409,1,0,0
Tobacco1.0-25370,0,0,1,st. petersburg times,2006,5,4,20060504,1,0,0
Tobacco1.0-23724,0,0,1,atlanta journal and constitution,2003,6,18,20030618,0,0,1
Tobacco1.0-18977,0,1,0,philadelphia inquirer,2002,5,26,20020526,1,0,0
