,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,Pro,Neutral,Anti,Explicit,Implicit,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14
same-sex_marriage1.0-10,0,0,0,st. louis post-dispatch,2002,11,10,20021110,0.656283076,0.230571014,0.113145911,0.006422245,0.993577755,0.005523073,0.000704124,0.001319267,0.005029733,0.853485229,0.003628307,0.002092571,0.000589146,0.000666535,0.113944067,0.002305767,0.003751543,0.00428069,0.002679947,0
same-sex_marriage1.0-100,0,0,0,san jose mercury news,2002,1,4,20020104,0.541982775,0.136447003,0.321570223,0.093362115,0.906637885,0.033329056,0.007694508,0.01130659,0.230995364,0.60886577,0.022641922,0.029632657,0.000781292,0.003983641,0.015193017,0.002074461,0.023686723,0.007319511,0.002495487,0
same-sex_marriage1.0-1000,1,0,0,atlanta journal and constitution,2004,2,14,20040214,0.21468037,0.242271814,0.543047816,0.002769474,0.997230526,0.001562745,0.000646683,0.509334004,0.002935102,0.008619834,0.023081642,0.003437769,0.000965586,0.002508683,0.005432613,0.005922319,0.004394878,0.419718665,0.011439479,0
same-sex_marriage1.0-10000,0,0,0,new york times,1996,9,15,19960915,0.725455479,0.135083859,0.139460663,0.209489675,0.790510325,0.002873455,0.000710371,0.012147478,0.13830113,0.001043933,0.085505903,0.001780574,0.006362463,0.001319861,0.00180884,0.012730284,0.157978956,0.530736351,0.046700401,0
same-sex_marriage1.0-10001,0,0,0,new york times,1996,9,15,19960915,0.395679491,0.133902877,0.470417632,0.000250014,0.999749986,0.036038764,0.001199257,0.00116439,0.00870723,0.675656178,0.102864605,0.002709968,0.001003427,0.021540279,0.101949933,0.003949258,0.024092497,0.016866322,0.002257892,0
same-sex_marriage1.0-10002,1,0,0,new york times,1996,9,15,19960915,0.515331532,0.122566157,0.362102311,0.16289176,0.83710824,0.03657597,0.014591202,0.02679827,0.030851008,0.04241763,0.294351266,0.022070714,0.001526539,0.066168401,0.009518053,0.039562603,0.037793899,0.351215666,0.02655878,0
same-sex_marriage1.0-10003,0,0,0,st. petersburg times,1996,9,15,19960915,0.155614924,0.18298858,0.661396496,0.206530055,0.793469945,0.000665807,0.005473147,0.002841544,0.002341215,0.03634512,0.473654619,0.001472784,0.000426935,0.000195024,0.003161863,0.001756596,0.012500644,0.457670787,0.001493914,0
same-sex_marriage1.0-10004,0,0,0,st. louis post-dispatch,1996,9,14,19960914,0.431800073,0.083682819,0.484517108,0.102249589,0.897750411,0.007935942,0.000868075,0.001435535,0.002439138,0.103304325,0.030259149,0.00143916,0.000785392,0.000733361,0.001483638,0.006120106,0.001129714,0.838083915,0.003982551,0
same-sex_marriage1.0-10005,0,0,1,atlanta journal and constitution,1996,9,13,19960913,0.516785551,0.153441799,0.32977265,0.054598939,0.945401061,0.002612448,0.000693355,0.821886231,0.016025139,0.020240079,0.009703171,0.001475631,0.000583712,0.00158622,0.017534481,0.001527045,0.000396869,0.105061352,0.000674267,0
same-sex_marriage1.0-10006,0,0,1,atlanta journal and constitution,1996,9,13,19960913,0.765513293,0.070049229,0.164437478,0.223219036,0.776780964,0.000969383,0.000694197,0.009950166,0.024598722,0.000729584,0.012139815,0.002481928,0.005002241,0.000716385,0.001634752,0.006642025,0.008788348,0.924724948,0.000927505,0
