,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,Pro,Neutral,Anti,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14
same-sex_marriage1.0-10,0,0,0,st. louis post-dispatch,2002,11,10,20021110,0.446355651,0.25622926,0.297415089,0.001611737,0.000779801,0.003398388,0.020754489,0.931195405,0.002646122,0.001178349,0.000581479,0.0007669,0.022097548,0.001652331,0.007066164,0.004858444,0.001412842,0
same-sex_marriage1.0-100,0,0,0,san jose mercury news,2002,1,4,20020104,0.502615623,0.263564026,0.233820351,0.009669266,0.006145153,0.013000545,0.06475645,0.744392663,0.015293064,0.020736744,0.006177904,0.003534475,0.022388495,0.00169709,0.018254452,0.071338498,0.0026152,0
same-sex_marriage1.0-1000,1,0,0,atlanta journal and constitution,2004,2,14,20040214,0.3993758,0.255465378,0.345158823,0.001101944,0.000621097,0.227687574,0.002108417,0.005075224,0.025599521,0.002774852,0.00059086,0.001632975,0.001700093,0.003960516,0.00201603,0.720580044,0.004550854,0
same-sex_marriage1.0-10000,0,0,0,new york times,1996,9,15,19960915,0.456067458,0.166824349,0.377108193,0.003545588,0.000716761,0.000855962,0.228096071,0.000732303,0.071913567,0.001883391,0.0029482,0.002978313,0.00096543,0.080435623,0.4305194,0.167165373,0.007244019,0
same-sex_marriage1.0-10001,0,0,0,new york times,1996,9,15,19960915,0.540530685,0.190719919,0.268749396,0.035090015,0.001806412,0.000796468,0.015063784,0.540495561,0.272372579,0.003757794,0.001346997,0.007282423,0.068614637,0.001772561,0.010833494,0.037779623,0.002987651,0
same-sex_marriage1.0-10002,1,0,0,new york times,1996,9,15,19960915,0.301194817,0.186102994,0.512702189,0.112321592,0.008322666,0.034284064,0.070213969,0.051784696,0.248721638,0.00475319,0.015452077,0.049103869,0.007078451,0.031268369,0.028917733,0.315141938,0.022635748,0
same-sex_marriage1.0-10003,0,0,0,st. petersburg times,1996,9,15,19960915,0.12053599,0.198693014,0.680770996,0.000791377,0.003578343,0.001750805,0.001770273,0.124721344,0.397861736,0.00130297,0.004074145,0.00115181,0.010205047,3.86E-05,0.007304472,0.439895706,0.005553337,0
same-sex_marriage1.0-10004,0,0,0,st. louis post-dispatch,1996,9,14,19960914,0.398426058,0.217599848,0.383974094,0.00503357,0.000754774,0.001433183,0.00064185,0.06370203,0.351106325,0.000788703,0.000637911,0.000347678,0.002827997,0.001319908,0.002072892,0.565942143,0.003391035,0
same-sex_marriage1.0-10005,0,1,0,atlanta journal and constitution,1996,9,13,19960913,0.440844695,0.190151913,0.369003392,0.001049031,0.000854345,0.863395975,0.00843804,0.002871714,0.031011108,0.001422033,0.000618026,0.001201605,0.002865309,0.015875841,0.000902906,0.06810218,0.001391887,0
same-sex_marriage1.0-10006,0,0,1,atlanta journal and constitution,1996,9,13,19960913,0.479389002,0.167618707,0.35299229,0.000692002,0.000718065,0.002905101,0.011011557,0.006328222,0.01747729,0.002359938,0.00286529,0.000996927,0.00060194,0.023943639,0.008963766,0.919510635,0.001625627,0
