,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,Pro,Neutral,Anti,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14
same-sex_marriage1.0-10,0,0,0,st. louis post-dispatch,2002,11,10,20021110,0.446355651,0.25622926,0.297415089,0.001611737,0.000779801,0.003398388,0.020754489,0.931195405,0.002646122,0.001178349,0.000581479,0.0007669,0.022097548,0.001652331,0.007066164,0.004858444,0.001412842,0,0.082057355,0.010809534,0.016063533,0.181074096,0.996886537,0.503893469,0.026027209,0.000321907,0.113021537,0.545442748,0.067646029,0.339086431,0.195579768,0.019148541,0.171961772
same-sex_marriage1.0-100,0,0,0,san jose mercury news,2002,1,4,20020104,0.502615623,0.263564026,0.233820351,0.009669266,0.006145153,0.013000545,0.06475645,0.744392663,0.015293064,0.020736744,0.006177904,0.003534475,0.022388495,0.00169709,0.018254452,0.071338498,0.0026152,0,0.039545528,0.012698814,0.100053086,0.34647075,0.786036769,0.584652506,0.048980123,0.004437046,0.0368611,0.307122211,0.088241181,0.308042883,0.206675328,0.03131171,0.269263822
same-sex_marriage1.0-1000,1,0,0,atlanta journal and constitution,2004,2,14,20040214,0.3993758,0.255465378,0.345158823,0.001101944,0.000621097,0.227687574,0.002108417,0.005075224,0.025599521,0.002774852,0.00059086,0.001632975,0.001700093,0.003960516,0.00201603,0.720580044,0.004550854,0,0.023516982,0.006513399,0.995095213,0.090391576,0.425304293,0.38333752,0.037230521,0.001351784,0.012103394,0.035549482,0.29860902,0.390322426,0.773789138,0.007140915,0.141268604
same-sex_marriage1.0-10000,0,0,0,new york times,1996,9,15,19960915,0.456067458,0.166824349,0.377108193,0.003545588,0.000716761,0.000855962,0.228096071,0.000732303,0.071913567,0.001883391,0.0029482,0.002978313,0.00096543,0.080435623,0.4305194,0.167165373,0.007244019,0,0.037541062,0.004885124,0.60229479,0.895331701,0.247934214,0.452600898,0.002974265,0.039046607,0.018003252,0.223313707,0.294891886,0.946115674,0.85432812,0.097374418,0.123434533
same-sex_marriage1.0-10001,0,0,0,new york times,1996,9,15,19960915,0.540530685,0.190719919,0.268749396,0.035090015,0.001806412,0.000796468,0.015063784,0.540495561,0.272372579,0.003757794,0.001346997,0.007282423,0.068614637,0.001772561,0.010833494,0.037779623,0.002987651,0,0.165370091,0.00986619,0.375266638,0.077345147,0.991925802,0.365387345,0.011786632,3.74E-05,0.646457699,0.637041301,0.03966061,0.307775553,0.804727909,0.020288028,0.08359623
same-sex_marriage1.0-10002,1,0,0,new york times,1996,9,15,19960915,0.301194817,0.186102994,0.512702189,0.112321592,0.008322666,0.034284064,0.070213969,0.051784696,0.248721638,0.00475319,0.015452077,0.049103869,0.007078451,0.031268369,0.028917733,0.315141938,0.022635748,0,0.157797422,0.005120277,0.108733124,0.116229167,0.345334852,0.398960663,0.013906275,0.000235503,0.204201387,0.299157395,0.212496823,0.185301486,0.918816126,0.333110743,0.271542802
same-sex_marriage1.0-10003,0,0,0,st. petersburg times,1996,9,15,19960915,0.12053599,0.198693014,0.680770996,0.000791377,0.003578343,0.001750805,0.001770273,0.124721344,0.397861736,0.00130297,0.004074145,0.00115181,0.010205047,3.86E-05,0.007304472,0.439895706,0.005553337,0,0.076275434,0.005113891,0.667868778,0.739842178,0.943077982,0.519888003,0.014430946,0.000290913,0.032479545,0.375715334,0.044565851,0.16622777,0.983573871,0.180935521,0.075838386
same-sex_marriage1.0-10004,0,0,0,st. louis post-dispatch,1996,9,14,19960914,0.398426058,0.217599848,0.383974094,0.00503357,0.000754774,0.001433183,0.00064185,0.06370203,0.351106325,0.000788703,0.000637911,0.000347678,0.002827997,0.001319908,0.002072892,0.565942143,0.003391035,0,0.095013946,0.004962101,0.083455102,0.177813025,0.980598043,0.383560053,0.003821784,0.000849883,0.01076603,0.342710808,0.105034488,0.317597542,0.984594448,0.154054257,0.120556783
same-sex_marriage1.0-10005,0,1,0,atlanta journal and constitution,1996,9,13,19960913,0.440844695,0.190151913,0.369003392,0.001049031,0.000854345,0.863395975,0.00843804,0.002871714,0.031011108,0.001422033,0.000618026,0.001201605,0.002865309,0.015875841,0.000902906,0.06810218,0.001391887,0,0.016010362,0.005763478,0.999609494,0.063394059,0.301558181,0.49198815,0.013678994,8.72E-05,0.034761933,0.078108086,0.082270657,0.137843157,0.522237486,0.040191857,0.04619683
same-sex_marriage1.0-10006,0,0,1,atlanta journal and constitution,1996,9,13,19960913,0.479389002,0.167618707,0.35299229,0.000692002,0.000718065,0.002905101,0.011011557,0.006328222,0.01747729,0.002359938,0.00286529,0.000996927,0.00060194,0.023943639,0.008963766,0.919510635,0.001625627,0,0.037110892,0.00351758,0.390188555,0.720982472,0.443905413,0.334712524,0.003522906,0.000857856,0.007143744,0.176380497,0.36850157,0.559536465,0.995730493,0.014134787,0.066422053
