year,quarter,mood,unknown,unknown
1959,3,71.355,1,7
1959,4,74.1,0,0
1960,1,74.566,0,0
1960,2,74.644,0,0
1960,3,74.658,0,0
1960,4,74.66,0,0
1961,1,74.66,0,0
1961,2,74.661,0,0
1961,3,74.661,0,0
1961,4,74.661,0,0
1962,1,74.661,0,0
1962,2,74.661,0,0
1962,3,74.661,0,0
1962,4,74.661,0,0
1963,1,74.661,0,0
1963,2,74.661,0,0
1963,3,74.661,0,0
1963,4,77.729,1,7
1964,1,73.847,0,0
1964,2,73.167,0,0
1964,3,73.05,0,0
1964,4,73.03,0,0
1965,1,68.417,1,7
1965,2,66.493,0,0
1965,3,64.46,1,7
1965,4,61.707,0,0
1966,1,61.253,0,0
1966,2,61.177,0,0
1966,3,58.296,1,7
1966,4,61.542,0,0
1967,1,62.113,0,0
1967,2,62.212,0,0
1967,3,66.263,2,12
1967,4,70.635,0,0
1968,1,76.007,1,5
1968,2,73.576,0,0
1968,3,73.13,0,0
1968,4,73.052,0,0
1969,1,73.038,0,0
1969,2,73.036,0,0
1969,3,73.036,0,0
1969,4,73.036,0,0
1970,1,73.036,0,0
1970,2,73.036,0,0
1970,3,73.036,0,0
1970,4,73.036,0,0
1971,1,73.036,1,10
1971,2,71.762,0,0
1971,3,71.546,0,0
1971,4,66.466,1,7
1972,1,64.186,1,45
1972,2,64.618,1,7
1972,3,64.746,0,0
1972,4,64.772,0,0
1973,1,67.006,1,45
1973,2,68.027,0,0
1973,3,68.184,0,0
1973,4,68.21,0,0
1974,1,69.242,1,45
1974,2,68.96,0,0
1974,3,68.905,0,0
1974,4,68.895,0,0
1975,1,68.893,0,0
1975,2,68.449,1,45
1975,3,74.602,0,0
1975,4,80.242,3,25
1976,1,73.514,1,45
1976,2,64.147,1,45
1976,3,64.395,0,0
1976,4,64.471,0,0
1977,1,65.831,2,52
1977,2,64.265,1,45
1977,3,72.044,0,0
1977,4,73.368,0,0
1978,1,73.593,0,0
1978,2,80.259,2,15
1978,3,80.201,0,0
1978,4,80.144,0,0
1979,1,80.131,0,0
1979,2,81.032,1,10
1979,3,74.234,0,0
1979,4,73.075,0,0
1980,1,65.21,3,62
1980,2,61.229,1,45
1980,3,63.205,1,7
1980,4,72.803,2,20
1981,1,74.606,0,0
1981,2,73.374,5,58
1981,3,65.097,1,7
1981,4,65.78,0,0
1982,1,67.822,2,55
1982,2,68.109,3,62
1982,3,67.954,1,10
1982,4,74.751,0,0
1983,1,75.899,0,0
1983,2,75.423,1,10
1983,3,69.373,1,3
1983,4,63.055,1,3
1984,1,64.353,1,45
1984,2,63.915,2,55
1984,3,72.913,1,3
1984,4,69.877,0,0
1985,1,65.055,1,45
1985,2,65.296,2,52
1985,3,63.83,1,7
1985,4,65.224,0,0
1986,1,65.465,0,0
1986,2,61.199,1,10
1986,3,58.542,0,0
1986,4,58.122,0,0
1987,1,61.457,1,45
1987,2,66.741,1,45
1987,3,75.292,0,0
1987,4,75.482,2,28
1988,1,67.561,1,45
1988,2,70.8,1,45
1988,3,69.918,2,28
1988,4,72.341,1,13
1989,1,75.867,6,105
1989,2,74.456,1,45
1989,3,74.212,0,0
1989,4,72.571,1,7
1990,1,74.004,1,45
1990,2,74.889,3,60
1990,3,78.203,3,50
1990,4,76.839,0,0
1991,1,78.038,4,95
1991,2,78.24,1,45
1991,3,78.718,0,0
1991,4,78.79,0,0
1992,1,74.528,2,38
1992,2,73.994,0,0
1992,3,73.934,0,0
1992,4,73.926,0,0
1993,1,75.1,4,101
1993,2,80.073,1,45
1993,3,77.309,1,3
1993,4,73.826,7,100
1994,1,72.709,2,58
1994,2,75.583,1,45
1994,3,73.78,0,0
1994,4,73.456,1,8
1995,1,75.167,0,0
1995,2,71.275,2,38
1995,3,72.559,0,0
1995,4,72.807,0,0
1996,1,76.781,2,58
1996,2,78.212,1,45
1996,3,71.821,1,25
1996,4,72.837,0,0
1997,1,73.046,0,0
1997,2,73.085,0,0
1997,3,73.091,0,0
1997,4,73.092,0,0
1998,1,79.028,1,45
1998,2,79.778,2,51
1998,3,78.152,0,0
1998,4,77.873,0,0
1999,1,70.936,4,60
1999,2,73.985,9,103
1999,3,73.065,8,68
1999,4,69.363,1,25
2000,1,73.359,8,112
2000,2,76.326,10,144
2000,3,73.882,2,26
2000,4,73.876,1,8
2001,1,70.363,3,25
2001,2,69.765,0,0
2001,3,69.666,0,0
2001,4,69.65,0,0
2002,1,71.9,1,45
2002,2,74.744,2,55
2002,3,72.913,0,0
2002,4,65.906,4,57
2003,1,53.521,1,9
2003,2,64.382,2,27
2003,3,68.792,0,0
2003,4,69.555,4,53
2004,1,73.941,4,100
2004,2,71.494,0,0
2004,3,69.639,2,51
2004,4,73.017,3,88
2005,1,71.283,1,9
2005,2,73.048,0,0
2005,3,73.356,0,0
2005,4,71.66,2,43
2006,1,73.234,2,54
2006,2,74.441,0,0
2006,3,74.62,0,0
2006,4,70.302,3,53
2007,1,68.735,1,9
2007,2,71.919,8,73
2007,3,70.418,0,0
2007,4,67.614,3,64
2008,1,69.233,1,9
2008,2,72.501,3,72
2008,3,72.765,0,0
2008,4,68.366,3,44
2009,1,66.368,2,30
2009,2,65.285,2,14
2009,3,62.898,0,0
2009,4,61.491,2,43
2010,1,62.317,1,21
2010,2,65.499,1,45
2010,3,64.078,1,21
2010,4,61.97,1,25
2011,1,62.012,4,46
2011,2,62.813,0,0
2011,3,63.237,1,21
2011,4,62.821,1,25
2012,1,64.98,1,9
2012,2,63.777,2,66
2012,3,63.039,1,21
2012,4,65.809,2,22
2013,1,65.168,4,37
2013,2,63.495,3,27
2013,3,62.327,1,25
2013,4,61.995,2,29
2014,1,61.996,1,21
2014,2,63.129,1,45
2014,3,63.159,0,0
2014,4,60.476,2,46
