year,quarter,mood,unknown,unknown
1959,3,71.844,1,7
1959,4,74.674,0,0
1960,1,75.076,0,0
1960,2,75.133,0,0
1960,3,75.142,0,0
1960,4,75.143,0,0
1961,1,75.143,0,0
1961,2,75.143,0,0
1961,3,75.143,0,0
1961,4,75.143,0,0
1962,1,75.143,0,0
1962,2,75.143,0,0
1962,3,75.143,0,0
1962,4,75.143,0,0
1963,1,75.143,0,0
1963,2,75.143,0,0
1963,3,75.143,0,0
1963,4,78.022,1,7
1964,1,74.161,0,0
1964,2,73.609,0,0
1964,3,73.53,0,0
1964,4,73.519,0,0
1965,1,69.191,1,7
1965,2,67.001,0,0
1965,3,65.06,1,7
1965,4,62.149,0,0
1966,1,61.737,0,0
1966,2,61.679,0,0
1966,3,58.978,1,7
1966,4,62.195,0,0
1967,1,62.655,0,0
1967,2,62.72,0,0
1967,3,66.516,2,12
1967,4,71.202,0,0
1968,1,76.238,1,5
1968,2,73.901,0,0
1968,3,73.565,0,0
1968,4,73.516,0,0
1969,1,73.509,0,0
1969,2,73.508,0,0
1969,3,73.508,0,0
1969,4,73.508,0,0
1970,1,73.508,0,0
1970,2,73.508,0,0
1970,3,73.508,0,0
1970,4,73.508,0,0
1971,1,73.508,1,10
1971,2,72.211,0,0
1971,3,72.026,0,0
1971,4,67.267,1,7
1972,1,64.691,1,45
1972,2,65.189,1,7
1972,3,65.264,0,0
1972,4,65.276,0,0
1973,1,67.369,1,45
1973,2,68.522,0,0
1973,3,68.684,0,0
1973,4,68.707,0,0
1974,1,69.674,1,45
1974,2,69.43,0,0
1974,3,69.395,0,0
1974,4,69.389,0,0
1975,1,69.389,0,0
1975,2,68.972,1,45
1975,3,75.295,0,0
1975,4,80.506,3,25
1976,1,73.968,1,45
1976,2,64.787,1,45
1976,3,64.953,0,0
1976,4,64.981,0,0
1977,1,66.247,2,52
1977,2,64.765,1,45
1977,3,72.77,0,0
1977,4,73.908,0,0
1978,1,74.07,0,0
1978,2,80.315,2,15
1978,3,80.55,0,0
1978,4,80.578,0,0
1979,1,80.581,0,0
1979,2,81.429,1,10
1979,3,74.486,0,0
1979,4,73.498,0,0
1980,1,66.162,3,62
1980,2,61.86,1,45
1980,3,63.742,1,7
1980,4,73.204,2,20
1981,1,74.963,0,0
1981,2,73.795,5,58
1981,3,65.489,1,7
1981,4,66.298,0,0
1982,1,68.21,2,55
1982,2,68.561,3,62
1982,3,68.381,1,10
1982,4,75.463,0,0
1983,1,76.47,0,0
1983,2,75.982,1,10
1983,3,70.105,1,3
1983,4,64.03,1,3
1984,1,64.851,1,45
1984,2,64.394,2,55
1984,3,73.754,1,3
1984,4,70.291,0,0
1985,1,65.785,1,45
1985,2,65.861,2,52
1985,3,64.368,1,7
1985,4,65.795,0,0
1986,1,65.999,0,0
1986,2,61.984,1,10
1986,3,59.03,0,0
1986,4,58.614,0,0
1987,1,61.752,1,45
1987,2,67.101,1,45
1987,3,75.885,0,0
1987,4,75.965,2,28
1988,1,67.762,1,45
1988,2,71.116,1,45
1988,3,70.625,2,28
1988,4,72.561,1,13
1989,1,75.985,6,105
1989,2,74.871,1,45
1989,3,74.683,0,0
1989,4,73.15,1,7
1990,1,74.416,1,45
1990,2,75.359,3,60
1990,3,78.755,3,50
1990,4,77.235,0,0
1991,1,78.363,4,95
1991,2,78.597,1,45
1991,3,79.183,0,0
1991,4,79.266,0,0
1992,1,75.256,2,38
1992,2,74.425,0,0
1992,3,74.31,0,0
1992,4,74.295,0,0
1993,1,75.397,4,101
1993,2,80.281,1,45
1993,3,78.338,1,3
1993,4,75.188,6,79
1994,1,73.225,2,58
1994,2,75.937,1,45
1994,3,73.342,0,0
1994,4,72.971,1,8
1995,1,75.597,0,0
1995,2,72.25,2,38
1995,3,73.343,0,0
1995,4,73.502,0,0
1996,1,77.016,2,58
1996,2,78.554,1,45
1996,3,72.74,1,25
1996,4,73.508,0,0
1997,1,73.622,0,0
1997,2,73.638,0,0
1997,3,73.641,0,0
1997,4,73.641,0,0
1998,1,79.171,1,45
1998,2,79.918,2,51
1998,3,78.397,0,0
1998,4,78.18,0,0
1999,1,71.746,4,60
1999,2,74.473,8,82
1999,3,73.311,8,68
1999,4,70.029,1,25
2000,1,72.272,7,91
2000,2,77.157,9,123
2000,3,74.239,2,26
2000,4,72.774,1,8
2001,1,70.384,3,25
2001,2,70.226,0,0
2001,3,70.204,0,0
2001,4,70.201,0,0
2002,1,72.38,1,45
2002,2,75.316,2,55
2002,3,73.033,0,0
2002,4,66.428,4,57
2003,1,54.228,1,9
2003,2,60.786,1,6
2003,3,65.013,0,0
2003,4,65.44,3,32
2004,1,73.606,3,79
2004,2,72.078,0,0
2004,3,70.331,2,51
2004,4,73.66,3,88
2005,1,72.072,1,9
2005,2,73.875,0,0
2005,3,74.132,0,0
2005,4,72.497,2,43
2006,1,73.658,2,54
2006,2,75.118,0,0
2006,3,75.322,0,0
2006,4,71.257,3,53
2007,1,69.344,1,9
2007,2,71.898,7,52
2007,3,71.446,0,0
2007,4,69.103,2,43
2008,1,70.093,1,9
2008,2,72.803,2,51
2008,3,73.725,0,0
2008,4,69.377,3,44
2009,1,69.414,1,9
2009,2,66.595,2,14
2009,3,63.533,0,0
2009,4,62.162,2,43
2010,1,62.466,0,0
2010,2,66.093,1,45
2010,3,66.091,0,0
2010,4,62.854,1,25
2011,1,62.534,3,25
2011,2,63.483,0,0
2011,3,63.618,0,0
2011,4,63.451,1,25
2012,1,66.057,1,9
2012,2,65.715,1,45
2012,3,67.856,0,0
2012,4,63.025,1,1
2013,1,66.103,3,16
2013,2,63.607,2,6
2013,3,62.93,1,25
2013,4,62.622,2,29
2014,1,61.708,0,0
2014,2,63.523,1,45
2014,3,63.768,0,0
2014,4,61.195,1,25
