year,quarter,mood,unknown,unknown
1959,3,73.837,1,53
1959,4,76.04,0,0
1960,1,76.754,0,0
1960,2,76.986,0,0
1960,3,77.061,0,0
1960,4,77.086,0,0
1961,1,77.094,0,0
1961,2,77.096,0,0
1961,3,77.097,0,0
1961,4,77.098,0,0
1962,1,77.098,0,0
1962,2,77.098,0,0
1962,3,77.098,0,0
1962,4,77.098,0,0
1963,1,77.098,0,0
1963,2,77.098,0,0
1963,3,77.098,0,0
1963,4,79.946,1,53
1964,1,77.095,0,0
1964,2,76.095,0,0
1964,3,75.759,0,0
1964,4,75.648,0,0
1965,1,71.339,1,53
1965,2,69.401,0,0
1965,3,67.273,1,53
1965,4,64.81,0,0
1966,1,64.056,0,0
1966,2,63.818,0,0
1966,3,61.081,1,53
1966,4,63.781,0,0
1967,1,64.727,0,0
1967,2,65.046,0,0
1967,3,68.887,2,60
1967,4,74.688,0,0
1968,1,79.5,1,7
1968,2,76.276,0,0
1968,3,75.147,0,0
1968,4,74.768,0,0
1969,1,74.642,0,0
1969,2,74.601,0,0
1969,3,74.588,0,0
1969,4,74.584,0,0
1970,1,74.582,0,0
1970,2,74.582,0,0
1970,3,74.582,0,0
1970,4,74.582,0,0
1971,1,74.582,1,10
1971,2,73.141,0,0
1971,3,72.673,0,0
1971,4,69.137,1,53
1972,1,65.725,1,53
1972,2,66.851,1,53
1972,3,67.522,0,0
1972,4,67.72,0,0
1973,1,68.331,1,53
1973,2,69.207,0,0
1973,3,69.476,0,0
1973,4,69.561,0,0
1974,1,70.583,1,53
1974,2,70.417,0,0
1974,3,70.337,0,0
1974,4,70.307,0,0
1975,1,70.296,0,0
1975,2,69.862,1,53
1975,3,74.995,0,0
1975,4,81.265,3,29
1976,1,76.075,1,53
1976,2,66.74,1,53
1976,3,65.801,0,0
1976,4,65.623,0,0
1977,1,66.895,2,69
1977,2,65.508,1,53
1977,3,72.718,0,0
1977,4,75.072,0,0
1978,1,75.838,0,0
1978,2,82.818,2,17
1978,3,83.251,0,0
1978,4,83.214,0,0
1979,1,83.174,0,0
1979,2,82.375,2,17
1979,3,76.227,0,0
1979,4,74.252,0,0
1980,1,67.519,4,99
1980,2,62.85,1,53
1980,3,63.262,1,16
1980,4,72.526,3,40
1981,1,73.829,0,0
1981,2,72.944,5,85
1981,3,67.038,1,16
1981,4,67.012,0,0
1982,1,69.058,2,63
1982,2,69.885,4,99
1982,3,69.273,1,10
1982,4,73.838,0,0
1983,1,75.301,0,0
1983,2,75.204,2,30
1983,3,70.786,1,3
1983,4,64.432,1,3
1984,1,65.292,1,53
1984,2,64.678,2,63
1984,3,72.676,1,3
1984,4,71.255,0,0
1985,1,66.568,1,53
1985,2,67.007,2,69
1985,3,64.956,1,16
1985,4,66.369,0,0
1986,1,66.867,0,0
1986,2,64.282,2,30
1986,3,61.127,0,0
1986,4,60.175,0,0
1987,1,62.119,1,53
1987,2,67.117,1,53
1987,3,72.675,0,0
1987,4,73.227,3,59
1988,1,69.025,1,53
1988,2,71.98,1,53
1988,3,69.628,3,59
1988,4,73.364,1,29
1989,1,76.32,6,144
1989,2,76.201,1,53
1989,3,75.621,0,0
1989,4,73.519,1,16
1990,1,75.411,1,53
1990,2,76.62,3,70
1990,3,77.659,3,74
1990,4,77.322,0,0
1991,1,78.7,4,127
1991,2,80.055,1,53
1991,3,79.822,0,0
1991,4,79.712,0,0
1992,1,74.878,2,58
1992,2,73.978,0,0
1992,3,73.812,0,0
1992,4,73.778,0,0
1993,1,75.607,3,111
1993,2,81.002,2,69
1993,3,78.858,1,3
1993,4,76.178,6,122
1994,1,76.152,2,82
1994,2,77.705,1,53
1994,3,74.442,0,0
1994,4,63.601,1,18
1995,1,64.871,0,0
1995,2,72.538,2,58
1995,3,76.137,0,0
1995,4,77.127,0,0
1996,1,79.96,2,82
1996,2,80.574,1,53
1996,3,73.068,1,29
1996,4,74.176,0,0
1997,1,74.662,0,0
1997,2,74.84,0,0
1997,3,74.902,0,0
1997,4,74.922,0,0
1998,1,80.63,1,53
1998,2,83.455,2,68
1998,3,79.682,0,0
1998,4,78.434,0,0
1999,1,72.033,5,104
1999,2,74.632,5,103
1999,3,72.445,5,103
1999,4,69.46,1,29
2000,1,74.228,8,173
2000,2,76.612,10,209
2000,3,72.711,2,47
2000,4,71.037,1,18
2001,1,73.468,2,28
2001,2,71.856,0,0
2001,3,71.263,0,0
2001,4,71.06,0,0
2002,1,73.085,1,53
2002,2,75.835,2,68
2002,3,73,1,15
2002,4,65.535,4,91
2003,1,64.667,1,13
2003,2,66.546,3,45
2003,3,68.058,0,0
2003,4,66.645,4,96
2004,1,74.146,5,125
2004,2,74.912,0,0
2004,3,73.766,2,68
2004,4,73.542,3,111
2005,1,75.212,1,13
2005,2,73.328,0,0
2005,3,72.749,0,0
2005,4,70.247,2,58
2006,1,75.886,2,66
2006,2,75.086,0,0
2006,3,74.719,0,0
2006,4,69.683,3,73
2007,1,73.755,1,13
2007,2,73.739,6,105
2007,3,70.814,0,0
2007,4,67.245,3,68
2008,1,74.016,1,13
2008,2,73.593,4,112
2008,3,71.804,0,0
2008,4,66.875,3,59
2009,1,67.756,3,43
2009,2,68.054,2,28
2009,3,63.782,0,0
2009,4,60.268,2,58
2010,1,61.403,2,30
2010,2,64.953,1,53
2010,3,64.15,1,20
2010,4,60.687,1,29
2011,1,63.141,4,93
2011,2,63.842,0,0
2011,3,63.511,1,20
2011,4,61.487,1,29
2012,1,71.188,1,13
2012,2,66.098,2,73
2012,3,63.875,1,20
2012,4,65.54,2,21
2013,1,67.512,4,77
2013,2,65.817,3,62
2013,3,61.908,1,29
2013,4,60.621,2,42
2014,1,61.284,1,20
2014,2,62.356,1,53
2014,3,62.408,0,0
2014,4,59.422,2,49
