year,quarter,mood,unknown,unknown
1964,3,14.477,1,26
1964,4,27.255,0,0
1965,1,31.296,0,0
1965,2,46.893,1,26
1965,3,47.87,0,0
1965,4,47.828,0,0
1966,1,47.751,0,0
1966,2,47.716,0,0
1966,3,47.702,0,0
1966,4,47.698,0,0
1967,1,47.696,0,0
1967,2,47.696,0,0
1967,3,47.695,0,0
1967,4,47.695,0,0
1968,1,47.695,0,0
1968,2,47.695,0,0
1968,3,47.695,0,0
1968,4,47.695,0,0
1969,1,47.695,0,0
1969,2,47.695,0,0
1969,3,47.695,0,0
1969,4,47.695,0,0
1970,1,47.695,0,0
1970,2,47.695,0,0
1970,3,47.695,0,0
1970,4,47.695,0,0
1971,1,47.695,0,0
1971,2,47.695,0,0
1971,3,47.695,0,0
1971,4,47.695,0,0
1972,1,47.695,0,0
1972,2,47.695,0,0
1972,3,47.695,0,0
1972,4,47.695,0,0
1973,1,47.695,0,0
1973,2,47.695,0,0
1973,3,47.695,0,0
1973,4,47.695,0,0
1974,1,47.695,0,0
1974,2,47.695,0,0
1974,3,47.695,0,0
1974,4,47.695,0,0
1975,1,47.695,0,0
1975,2,47.695,0,0
1975,3,47.695,0,0
1975,4,47.695,0,0
1976,1,47.695,0,0
1976,2,47.695,0,0
1976,3,47.695,0,0
1976,4,47.695,0,0
1977,1,45.433,1,26
1977,2,42.221,0,0
1977,3,41.261,0,0
1977,4,40.967,0,0
1978,1,40.876,0,0
1978,2,40.848,0,0
1978,3,40.839,0,0
1978,4,40.836,0,0
1979,1,40.835,0,0
1979,2,40.835,0,0
1979,3,40.835,0,0
1979,4,40.835,0,0
1980,1,40.835,0,0
1980,2,40.835,0,0
1980,3,40.835,0,0
1980,4,40.835,0,0
1981,1,40.835,0,0
1981,2,40.835,0,0
1981,3,40.835,0,0
1981,4,40.835,0,0
1982,1,40.835,0,0
1982,2,40.835,0,0
1982,3,40.835,0,0
1982,4,40.835,0,0
1983,1,40.835,0,0
1983,2,40.835,0,0
1983,3,40.835,0,0
1983,4,40.835,0,0
1984,1,40.835,0,0
1984,2,40.835,0,0
1984,3,40.835,0,0
1984,4,40.835,0,0
1985,1,40.835,0,0
1985,2,40.835,0,0
1985,3,40.835,0,0
1985,4,40.835,0,0
1986,1,40.835,0,0
1986,2,40.835,1,17
1986,3,42.477,0,0
1986,4,42.997,0,0
1987,1,43.161,0,0
1987,2,43.213,0,0
1987,3,43.23,0,0
1987,4,43.235,0,0
1988,1,43.236,0,0
1988,2,43.237,0,0
1988,3,43.237,0,0
1988,4,43.237,0,0
1989,1,43.237,0,0
1989,2,43.237,0,0
1989,3,43.237,0,0
1989,4,43.237,0,0
1990,1,43.237,0,0
1990,2,43.237,0,0
1990,3,43.237,0,0
1990,4,43.237,0,0
1991,1,43.237,0,0
1991,2,43.237,0,0
1991,3,43.237,0,0
1991,4,43.237,0,0
1992,1,43.237,0,0
1992,2,43.237,1,9
1992,3,38.289,0,0
1992,4,36.724,0,0
1993,1,36.229,0,0
1993,2,32.013,1,17
1993,3,30.771,1,26
1993,4,29.747,0,0
1994,1,29.479,0,0
1994,2,29.404,0,0
1994,3,30.499,2,26
1994,4,31.137,0,0
1995,1,31.312,0,0
1995,2,29.687,1,26
1995,3,32.779,2,43
1995,4,35.107,0,0
1996,1,35.794,0,0
1996,2,36.002,0,0
1996,3,36.067,0,0
1996,4,39.572,2,18
1997,1,44.742,0,0
1997,2,46.292,0,0
1997,3,46.766,0,0
1997,4,50.519,1,9
1998,1,50.247,0,0
1998,2,50.073,0,0
1998,3,50.002,0,0
1998,4,49.977,0,0
1999,1,47.684,1,26
1999,2,48.468,0,0
1999,3,51.325,1,9
1999,4,52.76,0,0
2000,1,53.154,0,0
2000,2,53.267,0,0
2000,3,52.368,2,30
2000,4,50.397,1,4
2001,1,48.58,1,26
2001,2,50.04,1,26
2001,3,39.964,1,17
2001,4,36.185,2,43
2002,1,38.848,0,0
2002,2,42.724,1,26
2002,3,38.977,2,35
2002,4,62.083,1,4
2003,1,57.261,0,0
2003,2,48.063,1,26
2003,3,43.013,2,26
2003,4,43.126,0,0
2004,1,45.308,1,17
2004,2,43.668,1,26
2004,3,48.02,0,0
2004,4,52.408,2,5
2005,1,49.713,0,0
2005,2,46.836,1,26
2005,3,42.431,1,17
2005,4,41.529,3,52
2006,1,44.332,0,0
2006,2,49.281,2,43
2006,3,46.588,0,0
2006,4,42.783,1,9
2007,1,42.8,1,17
2007,2,47.601,3,52
2007,3,50.579,0,0
2007,4,51.475,0,0
2008,1,51.751,0,0
2008,2,52.127,1,26
2008,3,55.877,1,17
2008,4,43.779,1,4
2009,1,47.688,1,9
2009,2,47.814,0,0
2009,3,43.8,1,26
2009,4,42.395,0,0
2010,1,42.043,0,0
2010,2,46.744,2,26
2010,3,45.948,2,35
2010,4,47.635,0,0
2011,1,48.219,0,0
2011,2,48.893,1,26
2011,3,51.933,1,17
2011,4,48.614,1,9
2012,1,52.329,0,0
2012,2,56.574,2,35
2012,3,71.598,1,9
2012,4,70.348,0,0
2013,1,63.974,1,9
2013,2,58.862,2,43
2013,3,58.511,0,0
2013,4,58.506,0,0
2014,1,58.434,2,35
2014,2,51.899,1,26
2014,3,51.701,1,9
2014,4,56.413,1,9
2015,1,55.558,1,9
