year,month,mood,,
1964,9,10.208,1,28
1964,10,31.183,0,0
1964,11,32.815,0,0
1964,12,32.942,0,0
1965,1,32.952,0,0
1965,2,32.953,0,0
1965,3,32.953,0,0
1965,4,32.953,0,0
1965,5,32.953,0,0
1965,6,52.438,1,28
1965,7,51.957,0,0
1965,8,52.114,0,0
1965,9,52.154,0,0
1965,10,52.162,0,0
1965,11,52.163,0,0
1965,12,52.163,0,0
1966,1,52.163,0,0
1966,2,52.163,0,0
1966,3,52.163,0,0
1966,4,52.163,0,0
1966,5,52.163,0,0
1966,6,52.163,0,0
1966,7,52.163,0,0
1966,8,52.163,0,0
1966,9,52.163,0,0
1966,10,52.163,0,0
1966,11,52.163,0,0
1966,12,52.163,0,0
1967,1,52.163,0,0
1967,2,52.163,0,0
1967,3,52.163,0,0
1967,4,52.163,0,0
1967,5,52.163,0,0
1967,6,52.163,0,0
1967,7,52.163,0,0
1967,8,52.163,0,0
1967,9,52.163,0,0
1967,10,52.163,0,0
1967,11,52.163,0,0
1967,12,52.163,0,0
1968,1,52.163,0,0
1968,2,52.163,0,0
1968,3,52.163,0,0
1968,4,52.163,0,0
1968,5,52.163,0,0
1968,6,52.163,0,0
1968,7,52.163,0,0
1968,8,52.163,0,0
1968,9,52.163,0,0
1968,10,52.163,0,0
1968,11,52.163,0,0
1968,12,52.163,0,0
1969,1,52.163,0,0
1969,2,52.163,0,0
1969,3,52.163,0,0
1969,4,52.163,0,0
1969,5,52.163,0,0
1969,6,52.163,0,0
1969,7,52.163,0,0
1969,8,52.163,0,0
1969,9,52.163,0,0
1969,10,52.163,0,0
1969,11,52.163,0,0
1969,12,52.163,0,0
1970,1,52.163,0,0
1970,2,52.163,0,0
1970,3,52.163,0,0
1970,4,52.163,0,0
1970,5,52.163,0,0
1970,6,52.163,0,0
1970,7,52.163,0,0
1970,8,52.163,0,0
1970,9,52.163,0,0
1970,10,52.163,0,0
1970,11,52.163,0,0
1970,12,52.163,0,0
1971,1,52.163,0,0
1971,2,52.163,0,0
1971,3,52.163,0,0
1971,4,52.163,0,0
1971,5,52.163,0,0
1971,6,52.163,0,0
1971,7,52.163,0,0
1971,8,52.163,0,0
1971,9,52.163,0,0
1971,10,52.163,0,0
1971,11,52.163,0,0
1971,12,52.163,0,0
1972,1,52.163,0,0
1972,2,52.163,0,0
1972,3,52.163,0,0
1972,4,52.163,0,0
1972,5,52.163,0,0
1972,6,52.163,0,0
1972,7,52.163,0,0
1972,8,52.163,0,0
1972,9,52.163,0,0
1972,10,52.163,0,0
1972,11,52.163,0,0
