year,quarter,mood,unknown,unknown
1964,3,10.487,1,27
1964,4,27.482,0,0
1965,1,31.706,0,0
1965,2,48.185,1,27
1965,3,50.184,0,0
1965,4,50.852,0,0
1966,1,51.068,0,0
1966,2,51.136,0,0
1966,3,51.156,0,0
1966,4,51.163,0,0
1967,1,51.165,0,0
1967,2,51.165,0,0
1967,3,51.165,0,0
1967,4,51.165,0,0
1968,1,51.166,0,0
1968,2,51.166,0,0
1968,3,51.166,0,0
1968,4,51.166,0,0
1969,1,51.166,0,0
1969,2,51.166,0,0
1969,3,51.166,0,0
1969,4,51.166,0,0
1970,1,51.166,0,0
1970,2,51.166,0,0
1970,3,51.166,0,0
1970,4,51.166,0,0
1971,1,51.166,0,0
1971,2,51.166,0,0
1971,3,51.166,0,0
1971,4,51.166,0,0
1972,1,51.166,0,0
1972,2,51.166,0,0
1972,3,51.166,0,0
1972,4,51.166,0,0
1973,1,51.166,0,0
1973,2,51.166,0,0
1973,3,51.166,0,0
1973,4,51.166,0,0
1974,1,51.166,0,0
1974,2,51.166,0,0
1974,3,51.166,0,0
1974,4,51.166,0,0
1975,1,51.166,0,0
1975,2,51.166,0,0
1975,3,51.166,0,0
1975,4,51.166,0,0
1976,1,51.166,0,0
1976,2,51.166,0,0
1976,3,51.166,0,0
1976,4,51.166,0,0
1977,1,48.719,1,27
1977,2,43.905,0,0
1977,3,42.682,0,0
1977,4,42.37,0,0
1978,1,42.29,0,0
1978,2,42.27,0,0
1978,3,42.264,0,0
1978,4,42.263,0,0
1979,1,42.263,0,0
1979,2,42.263,0,0
1979,3,42.263,0,0
1979,4,42.263,0,0
1980,1,42.263,0,0
1980,2,42.263,0,0
1980,3,42.263,0,0
1980,4,42.263,0,0
1981,1,42.263,0,0
1981,2,42.263,0,0
1981,3,42.263,0,0
1981,4,42.263,0,0
1982,1,42.263,0,0
1982,2,42.263,0,0
1982,3,42.263,0,0
1982,4,42.263,0,0
1983,1,42.263,0,0
1983,2,42.263,0,0
1983,3,42.263,0,0
1983,4,42.263,0,0
1984,1,42.263,0,0
1984,2,42.263,0,0
1984,3,42.263,0,0
1984,4,42.263,0,0
1985,1,42.263,0,0
1985,2,42.263,0,0
1985,3,42.263,0,0
1985,4,42.263,0,0
1986,1,42.263,0,0
1986,2,42.263,1,15
1986,3,44.287,0,0
1986,4,44.79,0,0
1987,1,44.915,0,0
1987,2,44.946,0,0
1987,3,44.954,0,0
1987,4,44.956,0,0
1988,1,44.957,0,0
1988,2,44.957,0,0
1988,3,44.957,0,0
1988,4,44.957,0,0
1989,1,44.957,0,0
1989,2,44.957,0,0
1989,3,44.957,0,0
1989,4,44.957,0,0
1990,1,44.957,0,0
1990,2,44.957,0,0
1990,3,44.957,0,0
1990,4,44.957,0,0
1991,1,44.957,0,0
1991,2,44.957,0,0
1991,3,44.957,0,0
1991,4,44.957,0,0
1992,1,44.957,0,0
1992,2,44.957,1,10
1992,3,38.561,0,0
1992,4,36.971,0,0
1993,1,36.576,0,0
1993,2,32.077,1,15
1993,3,30.953,1,27
1993,4,30.336,0,0
1994,1,30.15,0,0
1994,2,30.094,0,0
1994,3,32.41,2,25
1994,4,38.309,0,0
1995,1,42.015,1,27
1995,2,32.231,1,27
1995,3,33.54,2,42
1995,4,35.401,0,0
1996,1,35.878,0,0
1996,2,36.001,0,0
1996,3,36.033,0,0
1996,4,40.067,3,33
1997,1,45.118,0,0
1997,2,46.418,0,0
1997,3,46.754,0,0
1997,4,46.759,1,10
1998,1,48.349,0,0
1998,2,48.744,0,0
1998,3,48.842,0,0
1998,4,48.866,0,0
1999,1,50.023,1,27
1999,2,48.857,0,0
1999,3,47.516,1,10
1999,4,51.041,0,0
2000,1,51.906,0,0
2000,2,52.118,0,0
2000,3,54.979,2,31
2000,4,52.473,1,4
2001,1,51.36,1,27
2001,2,53.634,1,27
2001,3,41.194,2,32
2001,4,36.716,3,59
2002,1,37.153,1,17
2002,2,44.056,1,27
2002,3,41.77,2,37
2002,4,66.461,1,4
2003,1,61.122,0,0
2003,2,52.038,1,27
2003,3,48.653,3,42
2003,4,46.766,0,0
2004,1,47.626,2,32
2004,2,46.494,1,27
2004,3,50.257,0,0
2004,4,54.398,2,5
2005,1,52.598,0,0
2005,2,50.037,1,27
2005,3,48.851,1,17
2005,4,44.58,4,68
2006,1,49.962,1,17
2006,2,53.119,3,59
2006,3,50.234,0,0
2006,4,45.367,1,10
2007,1,44.511,2,32
2007,2,50.452,4,69
2007,3,54.728,0,0
2007,4,55.811,0,0
2008,1,56.087,0,0
2008,2,56.688,1,27
2008,3,59.571,2,32
2008,4,45.42,1,4
2009,1,45.531,1,10
2009,2,46.803,0,0
2009,3,45.85,1,27
2009,4,44.647,0,0
2010,1,44.336,0,0
2010,2,48.781,3,41
2010,3,50.19,3,53
2010,4,52.48,0,0
2011,1,53.044,0,0
2011,2,53.068,1,27
2011,3,53.601,2,32
2011,4,52.532,1,9
2012,1,56.438,0,0
2012,2,58.855,2,37
2012,3,79.725,1,9
2012,4,79.022,0,0
2013,1,72.867,1,9
2013,2,66.139,3,54
2013,3,67.129,0,0
2013,4,73.986,1,17
2014,1,68.047,2,36
2014,2,58.406,1,27
2014,3,57.389,1,9
2014,4,62.979,1,9
2015,1,62.146,1,9
